"cpg","beta","se","p","i2","p_het","details"
"cg17824939",-0.03809,0.0071,7.3e-08,"","",""
"cg12486486",-0.03787,0.0071,9.04e-08,"","",""
"cg05455393",-0.03097,0.0058,8.22e-08,"","",""
"cg00124920",-0.03079,0.0058,9.45e-08,"","",""
"cg18038361",-0.0305,0.0054,1.25e-08,"","",""
"cg03509901",-0.02767,0.0048,1.01e-08,"","",""
"cg04798824",-0.02761,0.0051,6.72e-08,"","",""
"cg06531158",-0.0257,0.0046,3.01e-08,"","",""
"cg17424007",-0.02469,0.0046,8.42e-08,"","",""
"cg20235510",-0.02459,0.0045,5.91e-08,"","",""
"cg13140465",-0.02241,0.0041,5.82e-08,"","",""
"cg16659470",-0.02208,0.0039,1.37e-08,"","",""
"cg05343548",-0.02176,0.0039,2.31e-08,"","",""
"cg05567435",-0.02015,0.0036,3.07e-08,"","",""
"cg24504843",-0.01934,0.0036,8.29e-08,"","",""
"cg10133171",-0.01871,0.0034,4.86e-08,"","",""
"cg26772788",-0.01773,0.0032,3.61e-08,"","",""
"cg03338924",-0.0172,0.0032,7.57e-08,"","",""
"cg04343242",-0.01611,0.003,8.25e-08,"","",""
"cg20640749",-0.01439,0.0027,7.84e-08,"","",""
"cg01341572",-0.01384,0.0025,3.28e-08,"","",""
"cg04599941",-0.01316,0.0025,9.4e-08,"","",""
"cg00962707",-0.01254,0.0023,8.57e-08,"","",""
"cg23494338",-0.01106,0.002,4.11e-08,"","",""
"cg01836096",-0.00918,0.0017,2.99e-08,"","",""
"cg04187814",-0.00846,0.0016,4.97e-08,"","",""
