cpg,beta,se,p,i2,p_het,details
cg19656890,0.000138812,2.60E-05,1.07E-07,,,
cg23389807,0.000794128,0.00015625,4.11E-07,,,
cg19046167,0.001302261,0.000261661,7.07E-07,,,
cg03522150,0.000299221,6.03E-05,7.49E-07,,,
cg03173679,-0.000299862,6.21E-05,1.47E-06,,,
cg24562669,-0.000340641,7.11E-05,1.78E-06,,,
cg01984858,0.000274286,5.78E-05,2.22E-06,,,
cg17311063,-0.000259752,5.53E-05,2.86E-06,,,
cg00994601,-0.000440469,9.45E-05,3.38E-06,,,
cg04346228,8.94E-05,1.96E-05,5.23E-06,,,
cg16421359,-0.000184636,4.15E-05,8.93E-06,,,
cg05318427,-0.000189674,4.27E-05,9.29E-06,,,
cg03401656,0.00032289,7.28E-05,9.65E-06,,,
cg07747616,-0.000543741,0.000123011,1.04E-05,,,
cg15679139,0.00037623,8.52E-05,1.07E-05,,,
cg05045329,-9.73E-05,2.22E-05,1.21E-05,,,
cg05227556,-0.000265207,6.07E-05,1.32E-05,,,
cg27207079,0.000548335,0.000125517,1.32E-05,,,
cg16884295,-0.000228256,5.25E-05,1.42E-05,,,
cg09221314,0.000182077,4.19E-05,1.46E-05,,,
cg16158863,0.000267098,6.18E-05,1.61E-05,,,
cg18365211,-0.000545699,0.000126286,1.64E-05,,,
cg06240409,-0.000300802,6.96E-05,1.64E-05,,,
cg27521562,0.000723676,0.000167769,1.69E-05,,,
cg21644856,0.000422033,9.79E-05,1.70E-05,,,
cg15714227,0.000445882,0.000103735,1.81E-05,,,
cg11068517,-0.000239383,5.58E-05,1.87E-05,,,
cg04646282,-0.00037677,8.78E-05,1.89E-05,,,
cg00020622,0.000146431,3.43E-05,2.12E-05,,,
cg06601581,-0.000534649,0.00012555,2.16E-05,,,
cg25341687,-0.000470906,0.000110821,2.25E-05,,,
cg25371538,0.00011846,2.79E-05,2.36E-05,,,
cg00128195,0.000166054,3.92E-05,2.36E-05,,,
cg17067889,-0.000362987,8.61E-05,2.59E-05,,,
cg16005145,-0.000141745,3.37E-05,2.69E-05,,,
cg22990967,0.000338487,8.05E-05,2.72E-05,,,
cg27235150,0.000319105,7.61E-05,2.85E-05,,,
cg16698835,-7.98E-05,1.91E-05,3.02E-05,,,
cg18840151,0.00018523,4.44E-05,3.13E-05,,,
cg18397975,0.000479622,0.000115197,3.28E-05,,,
cg16986571,0.000267637,6.43E-05,3.31E-05,,,
cg09109656,0.000226176,5.44E-05,3.32E-05,,,
cg08112737,0.000248405,5.98E-05,3.43E-05,,,
cg02794779,-0.000906272,0.000219542,3.82E-05,,,
cg03061612,-0.000459523,0.000111759,4.10E-05,,,
cg03594078,-0.000554301,0.000134945,4.17E-05,,,
cg06368721,-0.000163899,3.99E-05,4.24E-05,,,
cg02546690,0.000171022,4.17E-05,4.26E-05,,,
cg09709951,-0.001636898,0.000399362,4.33E-05,,,
cg23623228,-0.000197831,4.84E-05,4.49E-05,,,
cg01289643,-0.00012233,2.99E-05,4.50E-05,,,
cg27457925,0.000158135,3.87E-05,4.51E-05,,,
cg13334304,-0.000197475,4.83E-05,4.60E-05,,,
cg19958637,0.000141255,3.46E-05,4.70E-05,,,
