"cpg","beta","se","p","i2","p_het","details"
"cg16936953",-0.88,0.1748,4.8e-07,"","",""
"cg20995564",-0.53,0.2296,0.021,"","",""
"cg12054453",-0.71,0.1689,2.62e-05,"","",""
"cg01409343",-1.31,0.2649,7.59e-07,"","",""
"cg27023597",-0.53,0.2179,0.015,"","",""
"cg18942579",-0.76,0.2044,2e-04,"","",""
"cg19821297",-0.9,0.2735,0.001,"","",""
"cg09349128",-1.47,0.3387,1.42e-05,"","",""
"cg19369616",0.52,0.2094,0.013,"","",""
"cg17150809",-0.87,0.2932,0.003,"","",""
"cg11393173",-1.31,0.3981,0.001,"","",""
"cg18608055",-0.69,0.2966,0.02,"","",""
"cg07573872",-1.28,0.2516,3.62e-07,"","",""
"cg12992827",-1.09,0.2316,2.51e-06,"","",""
"cg13165240",0.98,0.2978,0.001,"","",""
"cg13033858",-0.72,0.267,0.007,"","",""
"cg06092244",-0.66,0.3382,0.051,"","",""
"cg18193094",0.49,0.2675,0.067,"","",""
"cg02782634",-0.45,0.2553,0.078,"","",""
"cg08946658",1.08,0.6169,0.08,"","",""
"cg16987754",0.38,0.3031,0.21,"","",""
"cg01243312",0.26,0.2074,0.21,"","",""
"cg18018828",0.5,0.4255,0.24,"","",""
"cg13781414",-0.42,0.3808,0.27,"","",""
"cg17051905",-0.32,0.4236,0.45,"","",""
"cg01939562",-0.17,0.2707,0.53,"","",""
"cg02709924",0.06,0.1408,0.67,"","",""
"cg06073220",0.06,0.1455,0.68,"","",""
"cg12790638",0.05,0.1507,0.74,"","",""
"cg13139542",0.08,0.2864,0.78,"","",""
"cg07805542",-0.01,0.2659,0.97,"","",""
