"cpg","beta","se","p","i2","p_het","details"
"cg16936953",-2.93,0.3271,3.34e-19,"","",""
"cg20995564",-2.83,0.4337,6.81e-11,"","",""
"cg12054453",-2.39,0.3108,1.48e-14,"","",""
"cg01409343",-3.82,0.491,7.21e-15,"","",""
"cg27023597",-2.49,0.44,1.52e-08,"","",""
"cg18942579",-2.58,0.3889,3.25e-11,"","",""
"cg19821297",-2.96,0.4744,4.4e-10,"","",""
"cg09349128",-4.61,0.6929,2.86e-11,"","",""
"cg19369616",2.24,0.4352,2.65e-07,"","",""
"cg17150809",-3.31,0.6042,4.3e-08,"","",""
"cg11393173",-4.15,0.6943,2.27e-09,"","",""
"cg18608055",-2.89,0.5698,3.93e-07,"","",""
"cg07573872",-3.55,0.5057,2.23e-12,"","",""
"cg12992827",-3.25,0.4864,2.37e-11,"","",""
"cg13165240",3.21,0.563,1.19e-08,"","",""
"cg13033858",-2.68,0.5182,2.32e-07,"","",""
"cg06092244",-3.55,0.676,1.51e-07,"","",""
"cg18193094",2.42,0.5763,2.68e-05,"","",""
"cg02782634",-2.41,0.5294,5.3e-06,"","",""
"cg08946658",5.59,1.3908,5.84e-05,"","",""
"cg16987754",2.5,0.65,0.00012,"","",""
"cg01243312",1.73,0.4393,8.21e-05,"","",""
"cg18018828",3.38,0.8272,4.39e-05,"","",""
"cg13781414",-2.83,0.6549,1.55e-05,"","",""
"cg17051905",-3.11,0.9227,0.00075,"","",""
"cg01939562",1.42,0.5779,0.014,"","",""
"cg02709924",-0.73,0.303,0.016,"","",""
"cg06073220",-0.75,0.3633,0.039,"","",""
"cg12790638",1.03,0.3446,0.0028,"","",""
"cg13139542",2.16,0.6669,0.0012,"","",""
"cg07805542",-1.23,0.3481,0.00041,"","",""
