"cpg","beta","se","p","i2","p_het","details"
"cg09514524",4.67943,0.05572,4.62e-85,NA,NA,NA
"cg12682573",-3.51018,0.04397,3.59e-83,NA,NA,NA
"cg23878564",-5.00819,0.06418,2.53e-82,NA,NA,NA
"cg16284674",4.6617,0.06221,8.18e-81,NA,NA,NA
"cg23886378",-3.54441,0.04817,3.93e-80,NA,NA,NA
"cg01927162",-3.7143,0.05193,4.42e-79,NA,NA,NA
"cg10571824",4.34591,0.06124,8.69e-79,NA,NA,NA
"cg08629884",4.44147,0.06391,5.17e-78,NA,NA,NA
"cg08411881",4.03371,0.05885,1.69e-77,NA,NA,NA
"cg00022594",-3.20235,0.04704,3.04e-77,NA,NA,NA
"cg12140749",-3.7219,0.05502,5.18e-77,NA,NA,NA
"cg15134174",-3.43434,0.05099,7.49e-77,NA,NA,NA
"cg20219172",4.09962,0.06114,1.1e-76,NA,NA,NA
"cg27392771",-3.60985,0.05418,1.91e-76,NA,NA,NA
"cg22016995",4.83646,0.07346,5.27e-76,NA,NA,NA
"cg17698295",-4.41646,0.06778,1.27e-75,NA,NA,NA
"cg15974642",-4.02218,0.06289,6.28e-75,NA,NA,NA
"cg00252733",-3.28241,0.05145,7.76e-75,NA,NA,NA
"cg21004654",-3.65903,0.05755,1.03e-74,NA,NA,NA
"cg27197524",4.705,0.07431,1.46e-74,NA,NA,NA
"cg21219157",-3.49216,0.05545,2.32e-74,NA,NA,NA
"cg18547371",-4.27036,0.07071,8.21e-73,NA,NA,NA
"cg11791710",-3.20786,0.05314,8.57e-73,NA,NA,NA
"cg13331354",-4.49387,0.07466,1.09e-72,NA,NA,NA
"cg10330847",-3.67301,0.06109,1.19e-72,NA,NA,NA
"cg16884222",4.01268,0.06674,1.2e-72,NA,NA,NA
"cg21474257",-3.19814,0.05326,1.33e-72,NA,NA,NA
"cg14226929",-2.85452,0.04762,1.55e-72,NA,NA,NA
"cg09087503",-3.68711,0.06186,2.51e-72,NA,NA,NA
"cg17591741",-3.33978,0.05602,2.47e-72,NA,NA,NA
"cg12099546",-3.63344,0.06099,2.62e-72,NA,NA,NA
"cg00033551",4.55125,0.0765,2.92e-72,NA,NA,NA
"cg15980539",-4.16155,0.07019,3.92e-72,NA,NA,NA
"cg05330121",-3.65547,0.06183,5.03e-72,NA,NA,NA
"cg23144852",-3.58641,0.06069,5.18e-72,NA,NA,NA
"cg26103369",-3.27033,0.05544,6.06e-72,NA,NA,NA
"cg10803243",-2.86836,0.04864,6.19e-72,NA,NA,NA
"cg17054691",4.0074,0.06793,6.03e-72,NA,NA,NA
"cg01634146",-3.67904,0.06242,6.52e-72,NA,NA,NA
"cg19135352",-3.64124,0.06189,7.55e-72,NA,NA,NA
"cg16956999",4.65578,0.07912,7.47e-72,NA,NA,NA
"cg19809791",-4.35517,0.07465,1.55e-71,NA,NA,NA
"cg05842113",-3.41425,0.05858,1.68e-71,NA,NA,NA
"cg23519086",-2.99447,0.05151,2.08e-71,NA,NA,NA
"cg22353369",-3.33462,0.05744,2.36e-71,NA,NA,NA
"cg06024391",-2.58111,0.04448,2.43e-71,NA,NA,NA
"cg08221288",-3.51624,0.06062,2.51e-71,NA,NA,NA
"cg05184016",-3.71652,0.06433,3.55e-71,NA,NA,NA
"cg06960794",3.36326,0.05835,4.33e-71,NA,NA,NA
"cg10767662",-3.40155,0.0594,7.47e-71,NA,NA,NA
"cg16604391",-3.09155,0.05407,8.49e-71,NA,NA,NA
"cg02744699",4.55887,0.07996,1.08e-70,NA,NA,NA
"cg26478401",4.51597,0.07944,1.39e-70,NA,NA,NA
"cg22277972",4.73634,0.08333,1.41e-70,NA,NA,NA
"cg20405742",-2.91902,0.05139,1.48e-70,NA,NA,NA
"cg02382426",-3.59171,0.06329,1.62e-70,NA,NA,NA
"cg20995127",-3.34107,0.0589,1.68e-70,NA,NA,NA
"cg11400774",-4.5984,0.08141,2.41e-70,NA,NA,NA
"cg02060627",-3.4685,0.0614,2.39e-70,NA,NA,NA
"cg08879470",-5.09038,0.09015,2.47e-70,NA,NA,NA
"cg18235937",-3.4569,0.06142,3.24e-70,NA,NA,NA
"cg22029856",-3.61537,0.06468,5.8e-70,NA,NA,NA
"cg24130561",-3.11629,0.05578,6.08e-70,NA,NA,NA
"cg02535219",4.52577,0.08113,6.91e-70,NA,NA,NA
"cg01363714",-4.08298,0.07324,7.29e-70,NA,NA,NA
"cg20667964",-3.22903,0.05807,9.03e-70,NA,NA,NA
"cg01544903",-4.9864,0.08979,1.01e-69,NA,NA,NA
"cg16773043",3.80824,0.06858,1.01e-69,NA,NA,NA
"cg06801994",-3.52347,0.06349,1.06e-69,NA,NA,NA
"cg14678084",-3.42856,0.06194,1.33e-69,NA,NA,NA
"cg01499988",-3.39911,0.06157,1.67e-69,NA,NA,NA
"cg07099810",-3.24034,0.05871,1.71e-69,NA,NA,NA
"cg20852226",-4.97809,0.09025,1.79e-69,NA,NA,NA
"cg06845438",-3.38886,0.06164,2.37e-69,NA,NA,NA
"cg03225208",-3.61356,0.06589,2.92e-69,NA,NA,NA
"cg04077085",-3.36144,0.06131,2.99e-69,NA,NA,NA
"cg02720618",-5.38491,0.09886,5.2e-69,NA,NA,NA
"cg20885063",-3.19961,0.05875,5.28e-69,NA,NA,NA
"cg23812679",-3.52104,0.06466,5.31e-69,NA,NA,NA
"cg20162381",-4.36483,0.08038,6.74e-69,NA,NA,NA
"cg05480350",-2.87769,0.05313,8.35e-69,NA,NA,NA
"cg07970948",-3.68231,0.06819,1.07e-68,NA,NA,NA
"cg14636077",-2.90508,0.05382,1.12e-68,NA,NA,NA
"cg20482223",-3.12354,0.05797,1.3e-68,NA,NA,NA
"cg00049440",4.66036,0.08688,1.89e-68,NA,NA,NA
"cg04879832",-4.73368,0.08835,2.08e-68,NA,NA,NA
"cg11064833",-2.89425,0.05406,2.22e-68,NA,NA,NA
"cg09839874",-2.82151,0.05282,2.71e-68,NA,NA,NA
"cg11746048",-2.57855,0.04829,2.79e-68,NA,NA,NA
"cg04997017",-3.14848,0.05937,4.98e-68,NA,NA,NA
"cg24108508",-3.54086,0.06679,5.11e-68,NA,NA,NA
"cg10184983",-4.42113,0.08354,5.91e-68,NA,NA,NA
"cg19771469",-3.15995,0.05973,6.06e-68,NA,NA,NA
"cg09411730",4.68292,0.08858,6.48e-68,NA,NA,NA
"cg20952901",-4.11977,0.07802,7.17e-68,NA,NA,NA
"cg24300347",-3.13073,0.05943,8.71e-68,NA,NA,NA
"cg24685109",-3.21866,0.06121,1.02e-67,NA,NA,NA
"cg19670286",-3.76303,0.07188,1.48e-67,NA,NA,NA
"cg02941852",-2.81408,0.05395,2.02e-67,NA,NA,NA
"cg05233128",3.07621,0.05898,2.03e-67,NA,NA,NA
"cg17687789",-3.19848,0.06134,2.07e-67,NA,NA,NA
"cg22450406",-3.10461,0.05955,2.1e-67,NA,NA,NA
"cg17302158",-3.04141,0.05839,2.27e-67,NA,NA,NA
"cg16729016",-3.24956,0.0624,2.31e-67,NA,NA,NA
"cg18168751",-4.08165,0.07843,2.44e-67,NA,NA,NA
"cg18597940",-2.80817,0.05396,2.44e-67,NA,NA,NA
"cg07985890",4.12497,0.07936,2.71e-67,NA,NA,NA
"cg10790709",-2.49131,0.04809,3.57e-67,NA,NA,NA
"cg02474195",-3.12688,0.06045,4.05e-67,NA,NA,NA
"cg13476133",-3.96718,0.077,5.68e-67,NA,NA,NA
"cg10120807",3.65608,0.07096,5.66e-67,NA,NA,NA
"cg09296001",-4.1131,0.07992,6.21e-67,NA,NA,NA
"cg10580335",-2.3269,0.04521,6.24e-67,NA,NA,NA
