"cpg","beta","se","p","i2","p_het","details"
"cg12212206",0.01632,0.00252,9.48e-11,"","",""
"cg18031436",0.01127,0.00178,2.71e-10,"","",""
"cg22727304",0.01708,0.00278,7.88e-10,"","",""
"cg18030386",-0.05627,0.00925,1.16e-09,"","",""
"cg27310761",0.02078,0.00351,3.12e-09,"","",""
"cg05628381",0.01495,0.00253,3.35e-09,"","",""
"cg10592690",0.02708,0.00461,4.12e-09,"","",""
"cg14171460",-0.04691,0.008,4.57e-09,"","",""
"cg16533147",0.03934,0.00676,5.86e-09,"","",""
"cg00519299",0.02492,0.00429,6.07e-09,"","",""
"cg25220065",0.01532,0.00264,6.46e-09,"","",""
"cg24039697",0.01915,0.00335,1.05e-08,"","",""
"cg24546153",0.01528,0.00269,1.31e-08,"","",""
"cg16099496",0.02438,0.00433,1.84e-08,"","",""
"cg08149193",0.03247,0.00584,2.63e-08,"","",""
"cg26678013",0.01533,0.00276,2.68e-08,"","",""
"cg26539524",0.00842,0.00152,2.79e-08,"","",""
"cg25785397",0.03322,0.006,3.15e-08,"","",""
"cg02987471",0.01416,0.00256,3.12e-08,"","",""
"cg18845801",0.01064,0.00193,3.65e-08,"","",""
"cg17656396",0.00653,0.00119,3.74e-08,"","",""
"cg26796513",-0.04487,0.0082,4.52e-08,"","",""
"cg09753043",0.02313,0.00427,5.94e-08,"","",""
"cg25237365",0.01911,0.00353,6.1e-08,"","",""
"cg07382590",0.01405,0.00259,5.85e-08,"","",""
"cg04102760",0.01395,0.00256,5.06e-08,"","",""
"cg25228773",0.01361,0.00251,6.07e-08,"","",""
"cg05949800",0.01322,0.00243,5.61e-08,"","",""
"cg04072570",0.03352,0.00624,7.63e-08,"","",""
"cg14937343",0.01708,0.00317,7.43e-08,"","",""
"cg06248767",0.03469,0.00647,8.24e-08,"","",""
"cg15642534",0.01425,0.00266,8.05e-08,"","",""
"cg23653835",0.01332,0.00249,9.22e-08,"","",""
"cg27023515",0.02289,0.00429,9.68e-08,"","",""
"cg00366818",0.01381,0.00259,1.01e-07,"","",""
"cg18423962",0.01332,0.00251,1.13e-07,"","",""
"cg02792168",-0.05446,0.0104,1.64e-07,"","",""
"cg02912127",0.04033,0.00775,1.94e-07,"","",""
"cg07545317",0.03986,0.00766,1.94e-07,"","",""
"cg12646385",0.03764,0.00722,1.88e-07,"","",""
"cg04858553",0.03236,0.0062,1.8e-07,"","",""
"cg10227368",0.03488,0.00668,1.75e-07,"","",""
"cg01835665",0.02372,0.00455,1.81e-07,"","",""
"cg13441730",0.02684,0.0051,1.39e-07,"","",""
"cg17839314",0.02333,0.00445,1.62e-07,"","",""
"cg14033944",0.02233,0.00424,1.38e-07,"","",""
"cg05575995",0.02205,0.00417,1.26e-07,"","",""
"cg07338077",0.02175,0.00416,1.71e-07,"","",""
"cg27056599",0.01447,0.00277,1.69e-07,"","",""
"cg23378495",0.01396,0.00266,1.54e-07,"","",""
"cg23479892",0.0136,0.00261,1.81e-07,"","",""
"cg13913015",0.01337,0.00257,1.94e-07,"","",""
"cg12108269",0.01388,0.00265,1.67e-07,"","",""
"cg04022063",0.01323,0.00254,1.88e-07,"","",""
"cg21066735",0.01336,0.00256,1.74e-07,"","",""
