"cpg","beta","se","p","i2","p_het","details"
"cg03270036",-0.09645,0.017,1.39e-08,"","",""
"cg25312229",-0.04848,0.00862,1.86e-08,"","",""
"cg02020483",0.04055,0.00743,4.79e-08,"","",""
"cg08339192",0.00439,0.00081,6.22e-08,"","",""
"cg06372962",0.02451,0.00468,1.61e-07,"","",""
"cg09606766",0.02268,0.00431,1.42e-07,"","",""
"cg02758870",0.00647,0.00124,1.99e-07,"","",""
"cg05003422",0.00453,0.00088,3.04e-07,"","",""
"cg23131355",-0.0505,0.00996,4.01e-07,"","",""
"cg19680332",0.01144,0.00226,3.93e-07,"","",""
"cg10671380",0.01043,0.00207,4.44e-07,"","",""
"cg02321096",-0.11397,0.02265,4.86e-07,"","",""
"cg16465768",0.01361,0.00271,5.34e-07,"","",""
"cg00526953",-0.14992,0.03046,8.54e-07,"","",""
"cg17546649",0.076,0.01543,8.38e-07,"","",""
"cg07226193",0.0054,0.00111,1.2e-06,"","",""
"cg05241536",0.01978,0.00417,2.15e-06,"","",""
"cg22352078",0.01256,0.00265,2.09e-06,"","",""
"cg03595286",0.005,0.00106,2.26e-06,"","",""
"cg19990182",0.00926,0.00197,2.52e-06,"","",""
"cg27258878",0.04274,0.00927,4.02e-06,"","",""
"cg06019229",0.02096,0.00453,3.75e-06,"","",""
"cg15557031",0.019,0.00411,3.88e-06,"","",""
"cg08222662",0.01653,0.00359,4.12e-06,"","",""
"cg02997111",0.00519,0.00113,4.09e-06,"","",""
"cg27265499",-0.0488,0.0106,4.13e-06,"","",""
"cg17662034",0.02329,0.00509,4.7e-06,"","",""
"cg06191810",0.01492,0.00325,4.56e-06,"","",""
