"cpg","beta","se","p","i2","p_het","details"
"cg26905327",0.06795,0.01188,1.08e-08,"","",""
"cg07578070",0.01373,0.00243,1.69e-08,"","",""
"cg06040980",0.00943,0.00167,1.65e-08,"","",""
"cg16705464",0.00369,0.00066,1.79e-08,"","",""
"cg03775459",-0.05724,0.00986,6.47e-09,"","",""
"cg24785532",0.03573,0.00675,1.19e-07,"","",""
"cg05718485",-0.04384,0.00824,1.03e-07,"","",""
"cg24446610",-0.0742,0.01423,1.84e-07,"","",""
"cg20560075",0.05464,0.01076,3.85e-07,"","",""
"cg19502867",0.03967,0.00792,5.42e-07,"","",""
"cg25701114",0.03822,0.00747,3.1e-07,"","",""
"cg19082003",0.03659,0.00732,5.83e-07,"","",""
"cg27659974",0.02855,0.0056,3.44e-07,"","",""
"cg12211962",0.02842,0.00555,3.07e-07,"","",""
"cg21273703",0.02593,0.00517,5.22e-07,"","",""
"cg05264145",0.02406,0.0048,5.42e-07,"","",""
"cg15119377",0.02293,0.0046,6.06e-07,"","",""
"cg20584918",0.02224,0.00432,2.64e-07,"","",""
"cg27553162",0.01786,0.00356,5.38e-07,"","",""
"cg04098585",0.01503,0.003,5.59e-07,"","",""
"cg26465120",0.01219,0.00242,4.87e-07,"","",""
"cg02604524",0.00743,0.00147,4.71e-07,"","",""
"cg26683316",0.02969,0.00601,7.66e-07,"","",""
"cg05638699",0.00784,0.00158,7.08e-07,"","",""
"cg20439473",-0.03859,0.00776,6.6e-07,"","",""
"cg19577984",-0.04038,0.00817,7.69e-07,"","",""
"cg27650699",-0.04395,0.00889,7.6e-07,"","",""
"cg05141289",-0.05706,0.01158,8.41e-07,"","",""
"cg08405219",0.0324,0.00663,1.02e-06,"","",""
"cg11542281",0.02681,0.00549,1.02e-06,"","",""
"cg05949352",0.03254,0.00669,1.16e-06,"","",""
"cg09250581",0.02961,0.00609,1.18e-06,"","",""
"cg16116066",0.02896,0.00596,1.18e-06,"","",""
"cg17864516",0.027,0.00555,1.14e-06,"","",""
"cg15450295",0.03003,0.0062,1.27e-06,"","",""
"cg07667367",0.02934,0.0061,1.49e-06,"","",""
"cg13667676",0.01127,0.00234,1.5e-06,"","",""
"cg10731192",0.00656,0.00136,1.49e-06,"","",""
"cg16296438",-0.04017,0.00835,1.49e-06,"","",""
"cg01077609",0.03181,0.00663,1.59e-06,"","",""
"cg25098497",0.03108,0.00651,1.82e-06,"","",""
"cg09585247",0.02821,0.00591,1.82e-06,"","",""
"cg04490108",0.00931,0.00195,1.83e-06,"","",""
"cg02362970",0.02699,0.00567,1.94e-06,"","",""
"cg06986705",0.02945,0.00619,1.99e-06,"","",""
"cg21716444",0.0295,0.00621,2.05e-06,"","",""
"cg02208776",0.00697,0.00147,2.22e-06,"","",""
"cg00894222",0.02409,0.00511,2.39e-06,"","",""
"cg13927938",-0.05262,0.01115,2.37e-06,"","",""
"cg10041390",0.03504,0.00744,2.47e-06,"","",""
"cg23497767",0.00561,0.00119,2.5e-06,"","",""
"cg07806552",0.01938,0.00413,2.67e-06,"","",""
"cg07661340",0.03069,0.00654,2.74e-06,"","",""
"cg06930433",0.03586,0.0077,3.24e-06,"","",""
"cg20227592",-0.04066,0.00874,3.29e-06,"","",""
"cg12424230",0.02879,0.0062,3.38e-06,"","",""
"cg12451177",0.02938,0.00636,3.82e-06,"","",""
"cg08914623",0.02419,0.00525,4e-06,"","",""
"cg26466094",0.00475,0.00103,4.35e-06,"","",""
"cg03528393",-0.05354,0.01167,4.51e-06,"","",""
"cg10705488",0.02576,0.00563,4.69e-06,"","",""
"cg22745437",0.02536,0.00555,4.94e-06,"","",""
"cg05296940",-0.04939,0.01082,4.99e-06,"","",""
"cg17285834",0.01132,0.00249,5.46e-06,"","",""
"cg08017850",0.00543,0.00119,5.5e-06,"","",""
"cg16274199",0.02858,0.0063,5.72e-06,"","",""
"cg26185843",0.02888,0.00637,5.89e-06,"","",""
"cg23521281",0.00771,0.00171,6.79e-06,"","",""
"cg09756865",0.03541,0.00791,7.49e-06,"","",""
"cg11338389",0.03289,0.00734,7.33e-06,"","",""
"cg13828839",0.03016,0.00673,7.48e-06,"","",""
"cg16724319",0.02083,0.00464,7.09e-06,"","",""
"cg11279933",0.01456,0.00325,7.34e-06,"","",""
"cg05722148",0.03024,0.00676,7.67e-06,"","",""
"cg06653045",0.0135,0.00302,7.75e-06,"","",""
"cg01926858",0.02733,0.00612,8.01e-06,"","",""
"cg11631271",0.01826,0.00409,8.13e-06,"","",""
"cg21996360",-0.0431,0.00966,8.08e-06,"","",""
"cg23408990",0.02093,0.0047,8.47e-06,"","",""
"cg27036341",-0.0354,0.00795,8.47e-06,"","",""
"cg24134071",-0.0372,0.00836,8.5e-06,"","",""
"cg04012053",-0.03866,0.00869,8.72e-06,"","",""
"cg25846339",0.0053,0.00119,9.02e-06,"","",""
"cg23003720",0.014,0.00316,9.13e-06,"","",""
"cg05652090",-0.03534,0.00798,9.39e-06,"","",""
"cg13492164",-0.05099,0.01152,9.54e-06,"","",""
"cg20528183",0.02929,0.00663,9.9e-06,"","",""
"cg04311606",0.00562,0.00127,9.86e-06,"","",""
"cg07848601",0.03248,0.00736,1.02e-05,"","",""
"cg03468671",0.00678,0.00154,1.02e-05,"","",""
"cg06254440",0.00851,0.00193,1.07e-05,"","",""
"cg15198101",0.0245,0.00557,1.1e-05,"","",""
"cg27355456",0.00338,0.00077,1.13e-05,"","",""
"cg10143030",-0.04018,0.00915,1.13e-05,"","",""
"cg11919525",0.01735,0.00395,1.15e-05,"","",""
"cg03393966",0.00552,0.00126,1.17e-05,"","",""
"cg23416667",0.00788,0.0018,1.24e-05,"","",""
"cg17212943",0.00607,0.00139,1.23e-05,"","",""
"cg27456220",0.03134,0.00718,1.28e-05,"","",""
"cg17655624",0.02839,0.00651,1.3e-05,"","",""
"cg17932836",0.0228,0.00523,1.29e-05,"","",""
"cg13982446",0.0327,0.00751,1.33e-05,"","",""
"cg13707183",0.01538,0.00354,1.39e-05,"","",""
"cg07744751",0.0067,0.00154,1.39e-05,"","",""
"cg06180519",-0.04988,0.0115,1.45e-05,"","",""
"cg13055709",-0.03778,0.00874,1.54e-05,"","",""
"cg06682556",-0.04565,0.01057,1.57e-05,"","",""
"cg10442251",0.08006,0.01858,1.64e-05,"","",""
"cg03039279",0.02935,0.00683,1.74e-05,"","",""
"cg08719081",-0.03329,0.00775,1.76e-05,"","",""
"cg06777321",-0.0641,0.01493,1.77e-05,"","",""
"cg02759880",0.00603,0.00141,1.8e-05,"","",""
"cg08018024",-0.01425,0.00333,1.89e-05,"","",""
"cg20567895",-0.02404,0.00562,1.89e-05,"","",""
"cg16039342",-0.03442,0.00804,1.87e-05,"","",""
"cg27360784",-0.04013,0.00938,1.88e-05,"","",""
"cg16145209",-0.05315,0.01242,1.88e-05,"","",""
"cg24610274",0.02108,0.00493,1.93e-05,"","",""
"cg11241206",0.02454,0.00575,1.95e-05,"","",""
"cg18064152",0.01061,0.00249,1.96e-05,"","",""
"cg13776234",0.00523,0.00123,1.98e-05,"","",""
"cg03558299",0.00471,0.00111,2.03e-05,"","",""
"cg25463831",0.00492,0.00116,2.07e-05,"","",""
"cg20168823",-0.01127,0.00265,2.12e-05,"","",""
"cg16223510",0.00602,0.00142,2.17e-05,"","",""
"cg03925149",-0.05961,0.01404,2.18e-05,"","",""
