cpg,beta,p
cg04792777,-0.008,2.13E-04
cg13092108,-0.009,4.38E-05
cg04962621,-0.007,6.95E-05
cg13997435,-0.005,2.77E-02
cg26385126,0.010,3.91E-07
cg07458272,0.007,2.10E-02
cg13549638,0.008,3.72E-02
cg10975863,0.010,1.62E-02
cg22891595,0.006,4.98E-02
cg06996599,0.006,3.28E-03
cg23387863,0.011,6.62E-04
cg25323444,0.011,2.32E-04
cg11621113,-0.013,8.72E-10
cg23009327,0.007,7.92E-03
cg12939085,0.006,4.65E-03
cg06721411,0.006,3.72E-02
cg12619262,0.012,7.44E-03
cg03038262,-0.006,2.27E-02
cg19769147,0.007,2.27E-02
cg16038738,-0.005,1.23E-03
cg14827056,0.004,4.65E-02
cg25792439,0.006,2.28E-02
cg11186858,0.014,1.38E-04
cg13390284,-0.004,2.76E-02
cg00417304,-0.013,2.95E-05
cg04535902,-0.011,1.90E-02
cg27457201,0.009,8.35E-03
cg04232128,-0.003,2.49E-02
cg20359445,-0.004,1.69E-03
cg24489015,-0.006,1.04E-04
cg11977605,-0.005,7.14E-04
cg00994936,0.004,2.61E-02
cg14114377,-0.008,1.31E-03
cg13451416,-0.005,7.72E-03
cg03497652,0.012,7.00E-05
cg24517501,-0.008,4.99E-04
cg07333545,-0.009,1.12E-02
cg11597902,0.011,4.65E-04
cg27093918,-0.015,7.17E-05
cg23542902,-0.004,1.47E-02
cg08940169,0.006,2.87E-05
cg26581729,-0.016,1.72E-07
cg08869118,0.003,2.36E-02
cg09308580,-0.004,8.91E-03
cg27431877,0.008,1.64E-04
cg10397932,-0.003,2.37E-02
cg21581415,0.005,1.94E-02
cg22887491,0.002,3.22E-02
cg05036937,-0.005,6.13E-03
cg03078690,0.006,5.65E-03
cg17901584,-0.011,6.95E-03
cg01115923,-0.003,4.81E-02
cg01765406,-0.006,1.46E-02
cg16111190,0.009,1.27E-02
cg01676795,0.010,2.46E-02
cg26253134,-0.005,9.43E-04
cg04359840,-0.017,2.28E-05
cg00066663,-0.003,5.23E-03
cg20384132,0.007,2.03E-02
cg06315217,0.006,4.58E-03
cg03762242,-0.003,2.69E-02
cg27115863,-0.011,1.30E-03
cg02117086,0.006,4.79E-02
cg19148201,0.009,4.53E-02
cg04462774,0.005,3.32E-02
cg00812833,-0.003,3.34E-02
cg25722983,-0.012,4.95E-06
cg14741228,-0.005,1.33E-03
cg10236687,-0.009,1.94E-02
cg10839385,0.004,8.76E-03
cg23479922,-0.009,1.43E-02
cg11356547,0.007,2.89E-02
cg04189320,-0.005,1.72E-02
cg20143111,0.002,4.81E-02
cg16660971,0.017,1.03E-04
cg19235307,-0.006,4.67E-03
cg15246238,-0.019,1.32E-06
cg07791897,0.006,1.03E-02
cg13442969,-0.006,1.18E-02
cg09277709,0.009,1.87E-03
cg07552087,0.005,9.28E-03
cg11311053,0.013,5.07E-09
cg10626063,0.023,1.86E-06
cg20930290,0.004,3.42E-02
cg20610950,0.021,9.21E-05
cg05919456,-0.008,2.65E-02
cg10836392,-0.007,2.85E-02
cg16815625,0.009,3.89E-02
cg13871900,0.008,1.03E-02
cg23565821,-0.016,8.09E-08
cg07781445,0.007,6.06E-03
cg04172533,-0.004,3.26E-02
cg00159243,-0.011,1.10E-06
cg04777348,-0.012,3.10E-05
