"cpg","beta","se","p","i2","p_het","details"
"cg20335425",-0.12,0.0195,6.94e-10,"","",""
"cg13375463",0.12,0.0198,1.27e-09,"","",""
"cg24216770",0.12,0.0199,1.56e-09,"","",""
"cg13086983",0.12,0.0201,2.56e-09,"","",""
"cg19430423",-0.16,0.0233,6.71e-12,"","",""
"cg26756782",-0.1,0.0168,2.38e-09,"","",""
"cg09468264",0.14,0.0227,6.69e-10,"","",""
"cg22724943",0.13,0.0194,1.86e-11,"","",""
"cg00288598",-0.18,0.029,5.4e-10,"","",""
"cg24705426",0.16,0.0297,7.24e-08,"","",""
"cg11535638",0.11,0.018,1.02e-09,"","",""
"cg22100563",-0.15,0.0231,8.52e-11,"","",""
"cg10796749",-0.12,0.0187,1.41e-10,"","",""
"cg09050670",-0.13,0.0213,1.06e-09,"","",""
"cg21920221",-0.17,0.0294,7.22e-09,"","",""
"cg02104952",0.15,0.026,7.73e-09,"","",""
