"cpg","beta","se","p","i2","p_het","details"
"cg19708306",0.136,0.030438,7.89e-06,"","",""
"cg05270224",0.196,0.043198,5.7e-06,"","",""
"cg05228408",-0.152,0.035435,1.79e-05,"","",""
"cg05396397",0.257,0.04828,1.02e-07,"","",""
"cg04211179",-0.145,0.026618,5.11e-08,"","",""
"cg07573717",-0.104,0.019524,1e-07,"","",""
"cg19713429",-0.175,0.035846,1.05e-06,"","",""
"cg26348226",-0.143,0.030194,2.18e-06,"","",""
"cg17094249",-0.229,0.050723,6.34e-06,"","",""
"cg02818189",-0.135,0.031525,1.85e-05,"","",""
"cg10951873",-0.186,0.039001,1.85e-06,"","",""
"cg27537125",-0.141,0.023142,1.11e-09,"","",""
"cg20460771",0.133,0.029257,5.47e-06,"","",""
"cg25310233",-0.125,0.029206,1.87e-05,"","",""
"cg14663208",0.193,0.036852,1.63e-07,"","",""
"cg16145216",0.197,0.044848,1.12e-05,"","",""
"cg24741609",-0.181,0.037502,1.39e-06,"","",""
"cg04158878",0.147,0.035131,2.86e-05,"","",""
"cg25189904",-0.296,0.044253,2.25e-11,"","",""
"cg20146909",-0.185,0.040833,5.88e-06,"","",""
"cg12876356",-0.181,0.040756,8.95e-06,"","",""
"cg09935388",-0.289,0.044798,1.11e-10,"","",""
"cg08129092",0.12,0.028483,2.52e-05,"","",""
"cg23924887",-0.11,0.026065,2.44e-05,"","",""
"cg06811467",-0.126,0.022154,1.29e-08,"","",""
"cg09257526",-0.112,0.020621,5.59e-08,"","",""
"cg12593793",-0.11,0.025248,1.32e-05,"","",""
"cg01416295",-0.18,0.039925,6.53e-06,"","",""
"cg09471611",0.144,0.033618,1.84e-05,"","",""
"cg08709672",-0.235,0.046782,5.08e-07,"","",""
"cg11229399",0.194,0.042399,4.75e-06,"","",""
"cg23079012",-0.278,0.041486,2.07e-11,"","",""
"cg08035323",0.261,0.039931,6.31e-11,"","",""
"cg02560388",-0.18,0.037513,1.6e-06,"","",""
"cg13711966",0.168,0.037324,6.76e-06,"","",""
"cg05010058",-0.181,0.042183,1.78e-05,"","",""
"cg15746583",0.094,0.02178,1.59e-05,"","",""
"cg09570614",0.139,0.033626,3.57e-05,"","",""
"cg01765406",-0.12,0.028835,3.16e-05,"","",""
"cg20949306",0.18,0.042892,2.71e-05,"","",""
"cg14667406",-0.212,0.047673,8.71e-06,"","",""
"cg22674699",0.216,0.043573,7.15e-07,"","",""
"cg16382047",-0.128,0.026456,1.31e-06,"","",""
"cg19827923",-0.161,0.033297,1.33e-06,"","",""
"cg03329539",-0.312,0.036362,9.46e-18,"","",""
"cg06644428",-0.255,0.042432,1.86e-09,"","",""
"cg05951221",-0.49,0.040988,6.13e-33,"","",""
"cg21566642",-0.588,0.045572,4.35e-38,"","",""
"cg01940273",-0.539,0.044994,4.56e-33,"","",""
"cg13193840",-0.23,0.051325,7.42e-06,"","",""
"cg13481776",0.131,0.030848,2.17e-05,"","",""
"cg12756150",0.201,0.044711,6.94e-06,"","",""
"cg13279811",-0.176,0.042217,3.06e-05,"","",""
"cg00501876",-0.265,0.038811,8.61e-12,"","",""
"cg18642234",-0.196,0.041519,2.35e-06,"","",""
"cg19784816",0.133,0.032003,3.24e-05,"","",""
"cg15417641",0.221,0.04759,3.42e-06,"","",""
"cg00336149",0.208,0.050403,3.68e-05,"","",""
"cg21188533",0.226,0.050556,7.81e-06,"","",""
"cg09301294",0.159,0.037242,1.96e-05,"","",""
"cg19859270",-0.279,0.048276,7.5e-09,"","",""
"cg15554421",-0.159,0.031844,5.94e-07,"","",""
"cg05655806",-0.196,0.04236,3.71e-06,"","",""
"cg04039397",-0.204,0.047807,1.98e-05,"","",""
"cg18165852",0.187,0.043411,1.65e-05,"","",""
"cg26958735",0.176,0.040754,1.57e-05,"","",""
"cg25853622",-0.061,0.014347,2.12e-05,"","",""
"cg13185177",0.135,0.031995,2.45e-05,"","",""
"cg23867146",0.194,0.044562,1.34e-05,"","",""
"cg10351287",0.193,0.043918,1.11e-05,"","",""
"cg19719391",0.15,0.035447,2.32e-05,"","",""
"cg26542660",-0.15,0.026531,1.57e-08,"","",""
"cg09156233",0.198,0.042482,3.15e-06,"","",""
"cg11554391",-0.217,0.042822,4.03e-07,"","",""
