cpg,beta,se,p,i2,p_het,details
cg18185980,-0.40049,0.0403,2.83E-23,,,
cg15632936,-0.2826,0.0285,3.93E-23,,,
cg04702314,-0.35657,0.036,4.18E-23,,,
cg02402882,-0.21146,0.0215,9.37E-23,,,
cg14394939,-0.25697,0.0262,1.10E-22,,,
cg09130091,-0.22752,0.0233,1.52E-22,,,
cg27486692,-0.22198,0.0227,1.68E-22,,,
cg02313829,0.26655,0.0273,1.74E-22,,,
cg13298538,-0.27263,0.028,2.22E-22,,,
cg19061798,-0.38186,0.0392,2.25E-22,,,
cg03581459,-0.29656,0.0305,2.30E-22,,,
cg06829760,-0.33407,0.0344,2.79E-22,,,
cg03934354,-0.36534,0.0376,2.82E-22,,,
cg02363655,-0.36649,0.0378,2.98E-22,,,
cg04314361,-0.34046,0.0351,3.25E-22,,,
cg15316843,0.41315,0.0428,4.91E-22,,,
cg21431832,-0.36173,0.0375,5.21E-22,,,
cg13609821,-0.47443,0.0492,5.46E-22,,,
cg05724065,-0.34539,0.0358,5.46E-22,,,
cg22788953,-0.51212,0.0531,5.61E-22,,,
cg12520319,-0.43083,0.0448,6.12E-22,,,
cg01231009,-0.36161,0.0376,6.18E-22,,,
cg12547839,-0.25565,0.0266,6.92E-22,,,
cg18935453,-0.48261,0.0502,7.25E-22,,,
cg12019475,-0.36743,0.0383,8.02E-22,,,
cg26539631,-0.26657,0.0278,8.06E-22,,,
cg19456997,-0.37194,0.0388,8.67E-22,,,
cg09486764,-0.31526,0.0329,9.56E-22,,,
cg23561531,-0.27525,0.0287,9.83E-22,,,
cg10904854,-0.3246,0.034,1.20E-21,,,
cg26568932,-0.25728,0.0269,1.21E-21,,,
cg03883256,-0.26117,0.0273,1.26E-21,,,
cg07512290,-0.28804,0.0302,1.29E-21,,,
cg20267101,-0.22725,0.0238,1.31E-21,,,
cg03162492,-0.28116,0.0295,1.33E-21,,,
cg13354250,-0.38664,0.0405,1.34E-21,,,
cg16962115,-0.28348,0.0297,1.37E-21,,,
cg19753174,-0.26681,0.028,1.60E-21,,,
cg18674267,-0.27229,0.0286,1.67E-21,,,
cg07312051,-0.43897,0.0461,1.75E-21,,,
cg22261895,-0.37541,0.0395,1.85E-21,,,
cg27506442,-0.43475,0.0457,1.92E-21,,,
cg19906672,-0.43641,0.0459,1.95E-21,,,
cg03364247,-0.2202,0.0232,2.01E-21,,,
cg10612692,-0.35149,0.0371,2.49E-21,,,
cg03443331,-0.42865,0.0452,2.63E-21,,,
cg26405376,-0.28646,0.0302,2.77E-21,,,
cg12592691,-0.29702,0.0314,2.90E-21,,,
cg09403559,-0.3592,0.0379,2.91E-21,,,
cg21303039,-0.28627,0.0303,3.03E-21,,,
cg02857325,-0.50666,0.0536,3.12E-21,,,
cg17025841,-0.2842,0.0301,3.19E-21,,,
cg27448161,-0.22509,0.0238,3.46E-21,,,
cg04021363,-0.43427,0.046,3.46E-21,,,
cg19166799,-0.36228,0.0384,3.60E-21,,,
cg20763327,-0.30043,0.0318,3.64E-21,,,
cg10753298,-0.2563,0.0272,3.76E-21,,,
cg06476693,-0.44745,0.0474,4.11E-21,,,
cg25814096,-0.22054,0.0234,4.47E-21,,,
cg16140253,-0.23371,0.0248,4.86E-21,,,
cg14603420,-0.27189,0.0289,4.87E-21,,,
cg20529923,-0.25859,0.0275,4.91E-21,,,
cg05885720,-0.28607,0.0304,4.91E-21,,,
cg21090182,-0.27607,0.0293,5.05E-21,,,
cg13463203,-0.55992,0.0595,5.11E-21,,,
cg16527552,-0.33602,0.0357,5.16E-21,,,
cg23055735,-0.38424,0.0409,5.29E-21,,,
cg08578568,-0.50097,0.0533,5.35E-21,,,
cg15431165,-0.46171,0.0491,5.53E-21,,,
cg16484162,-0.37079,0.0395,5.77E-21,,,
cg21895453,-0.25568,0.0272,5.78E-21,,,
cg15533023,-0.40256,0.0429,5.93E-21,,,
cg21199093,-0.31856,0.0339,5.94E-21,,,
cg22848646,-0.41458,0.0441,5.96E-21,,,
cg05729490,-0.43266,0.0461,6.19E-21,,,
cg05881221,0.35634,0.038,6.20E-21,,,
cg08698854,-0.36312,0.0387,6.28E-21,,,
cg19947484,-0.338,0.036,6.57E-21,,,
cg00755588,-0.1684,0.018,7.18E-21,,,
cg14024579,-0.20108,0.0215,7.65E-21,,,
cg17640485,-0.367,0.0392,7.73E-21,,,
cg23979832,-0.41047,0.0438,7.83E-21,,,
cg16973527,-0.48663,0.052,7.85E-21,,,
cg02415020,-0.3351,0.0358,8.11E-21,,,
cg22763593,-0.26861,0.0287,8.48E-21,,,
cg03475293,0.53767,0.0575,8.51E-21,,,
cg08112737,-0.35643,0.0381,8.51E-21,,,
cg26424888,-0.4559,0.0487,8.52E-21,,,
cg20477147,-0.25595,0.0274,8.68E-21,,,
cg18405341,-0.31701,0.0339,8.71E-21,,,
cg13861904,-0.33724,0.0361,8.73E-21,,,
cg12494373,-0.15465,0.0165,9.17E-21,,,
cg16866941,-0.17015,0.0182,9.33E-21,,,
cg24851600,-0.35707,0.0382,9.42E-21,,,
cg00088797,-0.28436,0.0304,9.51E-21,,,
cg11059760,-0.38322,0.041,9.91E-21,,,
cg04292442,-0.34302,0.0367,9.93E-21,,,
cg14089045,-0.3682,0.0394,1.01E-20,,,
cg26419962,-0.35823,0.0384,1.02E-20,,,
cg11403907,-0.39924,0.0428,1.02E-20,,,
cg21184415,0.21841,0.0234,1.03E-20,,,
cg11765913,-0.29777,0.0319,1.03E-20,,,
cg10772185,-0.37071,0.0397,1.07E-20,,,
cg22517527,-0.21946,0.0235,1.08E-20,,,
cg13166098,-0.39483,0.0423,1.08E-20,,,
cg19325477,-0.44804,0.048,1.10E-20,,,
cg01791104,-0.25515,0.0274,1.10E-20,,,
cg10684486,-0.37894,0.0406,1.13E-20,,,
cg10403394,-0.46146,0.0495,1.13E-20,,,
cg00660167,-0.50649,0.0543,1.16E-20,,,
cg13338454,-0.36263,0.0389,1.16E-20,,,
cg00733683,-0.28177,0.0302,1.19E-20,,,
cg14472181,-0.4064,0.0436,1.21E-20,,,
cg25132276,0.49272,0.0529,1.21E-20,,,
cg14682922,-0.39073,0.0419,1.22E-20,,,
