"cpg","beta","se","p","i2","p_het","details"
"cg19722082",-0.241,0.0494,1.06e-06,"","",""
"cg01145119",0.102,0.0194,1.4e-07,"","",""
"cg18155359",0.746,0.1569,1.99e-06,"","",""
"cg08843623",0.105,0.0242,1.41e-05,"","",""
"cg22058452",0.699,0.1724,5.04e-05,"","",""
"cg23606623",-0.176,0.0507,0.000518,"","",""
"cg27081103",-0.254,0.0634,6.18e-05,"","",""
"cg06182923",-0.175,0.0405,1.59e-05,"","",""
"cg08059112",0.0735,0.0179,3.85e-05,"","",""
"cg02798899",0.104,0.0241,1.56e-05,"","",""
"cg18074834",0.0596,0.0135,1.01e-05,"","",""
"cg04654716",0.0577,0.0134,1.71e-05,"","",""
"cg15727507",0.0741,0.018,3.86e-05,"","",""
"cg05693864",0.275,0.06,4.54e-06,"","",""
"cg08696494",0.088,0.0221,6.61e-05,"","",""
"cg25810455",1.07,0.265,5.41e-05,"","",""
"cg03710029",0.058,0.0172,0.000721,"","",""
"cg26628751",0.0707,0.0202,0.000469,"","",""
"cg04854089",0.158,0.038,3.19e-05,"","",""
"cg16657453",0.556,0.1283,1.47e-05,"","",""
"cg07970325",0.0618,0.0145,1.96e-05,"","",""
"cg12033248",-0.28,0.0687,4.53e-05,"","",""
"cg21429107",0.122,0.0367,0.000894,"","",""
"cg16371598",-0.272,0.0661,3.89e-05,"","",""
"cg09664445",0.0544,0.0143,0.000136,"","",""
"cg23606775",0.063,0.0157,6.23e-05,"","",""
"cg01604412",0.0795,0.0207,0.000122,"","",""
