"cpg","beta","se","p","i2","p_het","details"
"cg00574958",-0.063,0.029,0.03,"","",""
"cg01751800",-0.014,0.0065,0.032,"","",""
"cg02711608",-0.01,0.0096,0.296,"","",""
"cg03979241",0.042,0.0122,6e-04,"","",""
"cg04161365",-0.018,0.0116,0.12,"","",""
"cg06500161",0.04,0.0108,2e-04,"","",""
"cg06946797",-0.025,0.0078,0.0014,"","",""
"cg07504977",0.01,0.0062,0.106,"","",""
"cg09469355",-0.02,0.0106,0.059,"","",""
"cg09694782",-0.031,0.0098,0.0016,"","",""
"cg11024682",0.031,0.0135,0.022,"","",""
"cg11307565",-0.036,0.0123,0.0034,"","",""
"cg11376147",-0.046,0.0219,0.036,"","",""
"cg11990813",0.058,0.0218,0.0077,"","",""
"cg12593793",-0.01,0.0129,0.439,"","",""
"cg13016916",0.013,0.0045,0.004,"","",""
"cg15309457*",-0.005,0.0074,0.498,"","",""
"cg17588294",-0.02,0.0116,0.086,"","",""
"cg17971578",-0.022,0.012,0.067,"","",""
"cg20477259",-0.015,0.017,0.378,"","",""
"cg27434584*",0.032,0.0132,0.015,"","",""
