"cpg","beta","se","p","i2","p_het","details"
"cg01953134",-0.0018,0.00025,5.02e-13,"","",""
"cg08640609",-0.0012,0.00017,5.08e-12,"","",""
"cg27642643",-0.0032,0.00046,5.21e-12,"","",""
"cg11240327",-0.0042,0.00062,9.2e-12,"","",""
"cg10392378",-0.0026,0.00039,1.91e-11,"","",""
"cg21621759",-0.0035,0.00055,1.38e-10,"","",""
"cg03200341",-0.0023,0.00036,1.8e-10,"","",""
"cg21264329",-0.0022,0.00035,3.9e-10,"","",""
"cg04843946",-0.0061,0.00104,4.52e-09,"","",""
"cg02725437",-0.0025,0.00043,8.23e-09,"","",""
"cg25719236",-0.0024,0.00043,1.79e-08,"","",""
"cg01777586",-0.0085,0.00161,1.22e-07,"","",""
"cg25430506",-0.0038,0.00072,1.39e-07,"","",""
"cg04495299",0.0049,0.00094,1.64e-07,"","",""
"cg18881776",-0.0028,0.00054,1.67e-07,"","",""
"cg22785750",-0.0021,4e-04,1.98e-07,"","",""
"cg24337359",0.0048,0.00093,2.24e-07,"","",""
"cg00154968",-0.0023,0.00045,2.79e-07,"","",""
"cg09912079",0.0091,0.00177,2.78e-07,"","",""
"cg12849807",-0.0025,0.00049,2.71e-07,"","",""
"cg06823512",-0.0021,0.00041,3.46e-07,"","",""
"cg03257923",-0.0041,0.00081,4.19e-07,"","",""
"cg13379871",-0.0024,0.00048,5.4e-07,"","",""
"cg08804807",-0.0062,0.00124,6.29e-07,"","",""
"cg15622783",-0.0014,0.00028,6.72e-07,"","",""
"cg14853515",-0.0025,0.00051,8.09e-07,"","",""
"cg04006042",-0.0014,0.00029,9.31e-07,"","",""
"cg03812977",-0.003,0.00061,1.03e-06,"","",""
"cg22502715",-0.0023,0.00047,1.07e-06,"","",""
"cg22659273",0.0041,0.00084,1.07e-06,"","",""
"cg11939075",-0.0018,0.00037,1.13e-06,"","",""
"cg13694867",0.0021,0.00043,1.19e-06,"","",""
"cg19541147",-0.0036,0.00074,1.15e-06,"","",""
"cg13601161",-0.0032,0.00066,1.34e-06,"","",""
"cg19509891",-0.0037,0.00077,1.34e-06,"","",""
"cg00355802",-8e-04,0.00017,1.44e-06,"","",""
"cg05300158",-4e-04,8e-05,1.44e-06,"","",""
"cg01085866",0.0113,0.00236,1.68e-06,"","",""
