cpg,beta,p
cg07689148,-4.323862849,2.87327E-27
cg01659197,-4.546164465,3.46973E-25
cg18223446,-5.4136632,3.30997E-24
cg04202140,-5.605729446,6.8372E-24
cg04876223,-4.06644831,7.51027E-24
cg04611203,4.218257935,1.06965E-23
cg25354716,-4.54038486,1.08481E-23
cg04771248,4.817770485,1.80831E-23
cg20460388,-4.112848958,1.98148E-23
cg07240877,-4.21422917,2.04451E-23
cg03496777,-4.076657785,3.25415E-23
cg07784294,-3.281207454,3.62346E-23
cg14548264,-3.586037024,3.68263E-23
cg23117530,-5.368634531,5.45905E-23
cg23341970,-3.112997015,7.15981E-23
cg25540028,-3.457507416,7.83529E-23
cg07193389,-3.312194675,9.71602E-23
cg03377789,-3.253856677,1.04092E-22
cg06485596,-4.899546069,1.09838E-22
cg22199115,3.462453377,1.11598E-22
cg09954161,-4.839578367,1.15003E-22
cg07839457,-3.522629501,1.51294E-22
cg23154064,-3.134913646,2.10866E-22
cg05277466,-4.464718215,2.965E-22
cg00436663,4.085094728,3.59971E-22
cg06931905,-4.876944747,4.12938E-22
cg01207678,-3.934881222,4.28648E-22
cg16106678,3.411631123,4.32336E-22
cg09683324,3.186944714,5.3763E-22
cg27639249,-4.890856862,5.56748E-22
cg17014035,-3.521395924,6.54175E-22
cg13421194,-4.166823892,7.16984E-22
cg16190127,-4.468997049,7.89088E-22
cg02162720,-4.288514036,9.11127E-22
cg23720974,-3.298317211,9.15249E-22
cg06772268,-4.878619008,9.22045E-22
cg21530210,-2.743056795,9.98812E-22
cg18967788,-4.538854132,1.10963E-21
cg14727650,-3.829080025,1.1966E-21
cg21882037,-3.280137781,1.30053E-21
cg02512395,-3.358382172,1.32505E-21
cg05888362,-4.185348491,1.39275E-21
cg16550438,-5.301936669,1.39411E-21
cg19190632,-4.066123308,1.48507E-21
cg11489821,-3.510621509,1.52359E-21
cg24705717,-4.692781712,1.52789E-21
cg15412250,-3.454930303,1.63116E-21
cg27488740,-3.448880689,1.68875E-21
cg14189605,-3.998132941,1.79343E-21
cg07466437,-2.947322222,1.82769E-21
cg14834865,-4.90552622,1.88315E-21
cg04061225,-2.636037635,2.02991E-21
cg13151361,-4.343197584,2.18579E-21
cg03778373,-3.316188938,2.25055E-21
cg26441221,-3.875665896,2.37489E-21
cg19001522,-3.885122799,2.54164E-21
cg11443506,-3.971337501,2.56869E-21
cg21406869,-4.164827967,2.61633E-21
cg10754670,4.864481628,2.80897E-21
cg17049705,-3.259609234,3.16735E-21
cg02019873,-3.41115568,3.17118E-21
cg20448129,3.744357934,3.25857E-21
cg08259526,-4.507835075,3.27017E-21
cg18017082,-3.465853302,3.30731E-21
cg02967787,-4.106181297,3.3151E-21
cg00731201,-4.988690182,3.3605E-21
cg14081960,3.109215558,3.46045E-21
cg23632875,2.97261555,4.00287E-21
cg23156245,-3.476340115,4.13778E-21
cg10415122,-5.097886023,4.16053E-21
cg00218620,3.825249113,4.43945E-21
cg04574592,2.582456435,4.52182E-21
cg00467160,-4.674833554,4.58303E-21
cg08721746,-3.089864022,4.6642E-21
cg14588027,3.27493336,5.53703E-21
cg08907282,-3.302145151,5.96017E-21
cg11565042,-3.25708737,6.07745E-21
cg09965264,-3.125018317,6.15235E-21
cg26461449,-3.848750595,6.22089E-21
cg23610575,4.352325995,6.26008E-21
cg12845900,-3.42669803,6.97403E-21
cg21173221,-3.290216402,6.99605E-21
cg22236711,-2.842821426,7.08641E-21
cg11412256,-5.066830652,7.17876E-21
cg23313650,2.522710219,7.17919E-21
cg01079950,-4.368917755,7.68476E-21
cg02625902,3.508835207,8.47186E-21
cg14220634,-5.26776612,8.49061E-21
cg02354293,-4.762502246,9.5694E-21
cg20011604,-5.104358294,1.00704E-20
cg02624737,-3.11990306,1.06609E-20
cg25428810,-3.013554644,1.10575E-20
cg06399302,2.825490099,1.16591E-20
cg23208271,-4.874132231,1.17458E-20
cg22153062,-3.755502719,1.19097E-20
cg22001073,-3.52025698,1.20744E-20
cg21759331,-4.517950618,1.25987E-20
