"cpg","beta","se","p","i2","p_het","details"
"cg24859528",0.636577,0.1371,3.43e-06,"","",""
"cg25356639",-0.673345,0.145,3.44e-06,"","",""
"cg13828068",-0.634878,0.138,4.19e-06,"","",""
"cg18770678",-0.653926,0.1429,4.74e-06,"","",""
"cg17153174",-0.693147,0.1536,6.42e-06,"","",""
"cg08266177",-0.478036,0.1065,7.17e-06,"","",""
"cg08596308",-0.634878,0.1427,8.58e-06,"","",""
"cg08132980",-0.673345,0.1527,1.03e-05,"","",""
"cg13797468",-0.527633,0.1267,3.14e-05,"","",""
"cg16807101",-0.634878,0.1539,3.72e-05,"","",""
"cg06837449",0.542324,0.1316,3.79e-05,"","",""
"cg25352188",-0.579818,0.1411,3.97e-05,"","",""
"cg11992783",-0.562119,0.1373,4.26e-05,"","",""
"cg08352439",0.641854,0.1585,5.12e-05,"","",""
"cg13054523",-0.478036,0.1184,5.39e-05,"","",""
"cg04768463",-0.579818,0.1443,5.86e-05,"","",""
"cg04670255",-0.562119,0.1401,6.02e-05,"","",""
"cg04374813",-0.527633,0.1318,6.26e-05,"","",""
"cg19731340",-0.510826,0.1277,6.35e-05,"","",""
"cg17343671",-0.597837,0.1499,6.63e-05,"","",""
"cg24125287",0.604316,0.1519,6.94e-05,"","",""
"cg19925675",-0.527633,0.1339,8.17e-05,"","",""
"cg10428917",-0.494296,0.1255,8.22e-05,"","",""
"cg15770702",-0.562119,0.1431,8.6e-05,"","",""
"cg04426862",-0.544727,0.139,8.9e-05,"","",""
"cg10224806",-0.494296,0.1265,9.36e-05,"","",""
"cg03505866",-0.597837,0.1534,9.78e-05,"","",""
"cg27078727",-0.616186,0.1584,9.98e-05,"","",""
