"cpg","beta","se","p","i2","p_het","details"
"cg00106446",0.1535691,0.0311,7.93728e-07,"","",""
"cg01014490",-1.2615349,0.1794,2.04611e-12,"","",""
"cg03586437",-0.6666502,0.1313,3.79358e-07,"","",""
"cg06788803",-0.3411394,0.0682,5.72924e-07,"","",""
"cg08135278",-0.8109431,0.1419,1.10692e-08,"","",""
"cg09025960",-0.5620065,0.1347,3.0092e-05,"","",""
"cg11345323",-0.6449169,0.1349,1.74044e-06,"","",""
"cg22865720",-0.5329098,0.1176,5.90627e-06,"","",""
"cg25975165",0.7474419,0.1559,1.62249e-06,"","",""
"cg06370133",-0.5927435,0.1234,1.56253e-06,"","",""
"cg24599345",-0.8179452,0.1353,1.50556e-09,"","",""
"cg10729325",-0.5872971,0.1343,1.23274e-05,"","",""
"cg14716208",-0.7785429,0.184,2.32612e-05,"","",""
"cg16142707",-0.7261296,0.1737,2.9045e-05,"","",""
"cg17323383",-0.784142,0.1772,9.67263e-06,"","",""
"cg23087239",0.6788629,0.1488,5.08612e-06,"","",""
"cg25771041",-0.3525423,0.0814,1.48376e-05,"","",""
"cg16654732",-1.3157231,0.1921,7.38731e-12,"","",""
"cg26569144",-0.7941544,0.1559,3.48683e-07,"","",""
"cg21273098",-0.321047,0.0577,2.56686e-08,"","",""
"cg02112681",0.6535378,0.1456,7.1563e-06,"","",""
"cg14826215",-0.4821179,0.1154,2.95018e-05,"","",""
"cg20849378",0.9487442,0.1666,1.2358e-08,"","",""
"cg07766672",-0.6987398,0.1385,4.49442e-07,"","",""
"cg08874430",-0.4066875,0.0951,1.90268e-05,"","",""
"cg13128305",-0.4685586,0.1088,1.65889e-05,"","",""
"cg18617333",-0.6748327,0.1377,9.58713e-07,"","",""
"cg19508701",-0.766428,0.1386,3.18459e-08,"","",""
"cg19916637",-0.6496862,0.1372,2.19899e-06,"","",""
"cg20215367",-0.5260664,0.1223,1.6892e-05,"","",""
"cg21701395",-0.6431522,0.1399,4.28055e-06,"","",""
"cg24948990",-0.7104795,0.1556,4.93816e-06,"","",""
"cg25924823",0.5943884,0.1264,2.58708e-06,"","",""
"cg01725199",-0.4685475,0.0931,4.7753e-07,"","",""
"cg13620366",0.7526127,0.1548,1.16808e-06,"","",""
"cg02250553",0.509141,0.115,9.59407e-06,"","",""
"cg13264059",-0.4928484,0.1186,3.26739e-05,"","",""
"cg19634213",-0.9844345,0.1774,2.86283e-08,"","",""
"cg23326811",-0.5904602,0.133,8.96383e-06,"","",""
"cg04151290",-0.2960229,0.0719,3.87012e-05,"","",""
"cg25144930",-0.8020162,0.1534,1.70738e-07,"","",""
"cg26369667",-0.8896947,0.1538,7.31467e-09,"","",""
"cg11875268",0.8492834,0.2032,2.91675e-05,"","",""
"cg11004501",-0.5551632,0.117,2.07675e-06,"","",""
"cg07469408",-0.4312961,0.0982,1.11189e-05,"","",""
"cg09939831",-0.933492,0.1653,1.64597e-08,"","",""
"cg13570982",-1.1766062,0.2083,1.60731e-08,"","",""
"cg20480233",-1.3377383,0.2241,2.37602e-09,"","",""
"cg05624510",-0.8030989,0.1469,4.56949e-08,"","",""
"cg19168961",-0.4792784,0.0934,2.85566e-07,"","",""
"cg22296620",0.2949919,0.0583,4.23419e-07,"","",""
"cg22409276",-0.8824168,0.1605,3.80823e-08,"","",""
"cg23790326",-0.6145027,0.1309,2.69029e-06,"","",""
"cg02232531",-0.2671127,0.0604,9.73354e-06,"","",""
"cg06818515",0.6017076,0.1091,3.46522e-08,"","",""
"cg07243103",-0.381626,0.0695,3.98944e-08,"","",""
"cg08806263",-0.2433563,0.0567,1.7675e-05,"","",""
"cg08843134",0.4885532,0.1119,1.27221e-05,"","",""
"cg09378497",-0.6486034,0.1363,1.93434e-06,"","",""
"cg09876101",-0.3429947,0.0692,7.08526e-07,"","",""
"cg16726667",-0.7807993,0.1586,8.50039e-07,"","",""
"cg19390357",0.6096117,0.1461,3.01089e-05,"","",""
"cg00032419",-1.2477155,0.1825,8.03294e-12,"","",""
"cg00265578",-0.8827826,0.1485,2.74417e-09,"","",""
"cg02456708",-0.6200905,0.1226,4.25068e-07,"","",""
"cg02516388",-0.2633854,0.0615,1.82814e-05,"","",""
"cg04029055",-0.5554169,0.1067,1.93566e-07,"","",""
