"cpg","beta","se","p","i2","p_het","details"
"cg00106446",0.154632983,0.0261,2.99003e-09,"","",""
"cg01014490",-1.187957331,0.1361,2.57518e-18,"","",""
"cg03586437",-0.689992547,0.1008,7.67173e-12,"","",""
"cg06788803",-0.303250751,0.0464,6.61924e-11,"","",""
"cg08135278",-0.968247375,0.1226,2.90011e-15,"","",""
"cg09025960",-0.631439621,0.1031,8.94889e-10,"","",""
"cg11345323",-0.759274425,0.1059,7.63518e-13,"","",""
"cg22865720",-0.614857676,0.0951,1.00578e-10,"","",""
"cg25975165",0.725394277,0.1178,7.31155e-10,"","",""
"cg06370133",-0.630862867,0.0955,4.02594e-11,"","",""
"cg24599345",-0.690355871,0.0909,2.98929e-14,"","",""
"cg10729325",-0.485655169,0.0929,1.71754e-07,"","",""
"cg14716208",-0.815380819,0.1429,1.14992e-08,"","",""
"cg16142707",-0.761825444,0.1345,1.48414e-08,"","",""
"cg17323383",-0.804542752,0.1378,5.20888e-09,"","",""
"cg23087239",0.714111249,0.1113,1.38703e-10,"","",""
"cg25771041",-0.386972909,0.0656,3.63036e-09,"","",""
"cg16654732",-1.342353375,0.1473,8.06899e-20,"","",""
"cg26569144",-0.846195798,0.1225,4.88443e-12,"","",""
"cg21273098",-0.29226382,0.0401,3.11455e-13,"","",""
"cg02112681",0.620708258,0.1089,1.19176e-08,"","",""
"cg14826215",-0.56005526,0.0959,5.12668e-09,"","",""
"cg20849378",0.839417658,0.1231,9.04113e-12,"","",""
"cg07766672",-0.721899947,0.1036,3.28353e-12,"","",""
"cg08874430",-0.378672465,0.0674,1.94445e-08,"","",""
"cg13128305",-0.51342601,0.0896,1.01033e-08,"","",""
"cg18617333",-0.71259613,0.1032,5.02972e-12,"","",""
"cg19508701",-0.836637057,0.1117,6.98088e-14,"","",""
"cg19916637",-0.651808249,0.1035,3.04255e-10,"","",""
"cg20215367",-0.602797236,0.0927,7.76931e-11,"","",""
"cg21701395",-0.78434439,0.1153,1.04693e-11,"","",""
"cg24948990",-0.796723273,0.1201,3.23291e-11,"","",""
"cg25924823",0.594531187,0.0924,1.22268e-10,"","",""
"cg01725199",-0.518071685,0.0777,2.5784e-11,"","",""
"cg13620366",0.680672182,0.1079,2.8136e-10,"","",""
"cg02250553",0.465708632,0.0805,7.18038e-09,"","",""
"cg13264059",-0.534617999,0.0903,3.21662e-09,"","",""
"cg19634213",-0.899859173,0.1298,4.12508e-12,"","",""
"cg23326811",-0.657379128,0.1046,3.24958e-10,"","",""
"cg04151290",-0.299549921,0.0549,4.74337e-08,"","",""
"cg25144930",-0.834733028,0.118,1.53232e-12,"","",""
"cg26369667",-0.875480964,0.1154,3.22075e-14,"","",""
"cg11875268",0.874794455,0.1597,4.28424e-08,"","",""
"cg11004501",-0.470287429,0.082,9.80803e-09,"","",""
"cg07469408",-0.415483301,0.0717,6.79183e-09,"","",""
"cg09939831",-0.885568677,0.1252,1.52132e-12,"","",""
"cg13570982",-1.003821518,0.1527,4.89669e-11,"","",""
"cg20480233",-1.188034384,0.1561,2.70976e-14,"","",""
"cg05624510",-0.807744064,0.1068,3.94279e-14,"","",""
"cg19168961",-0.490719287,0.0718,8.40987e-12,"","",""
"cg22296620",0.317555215,0.0498,1.83323e-10,"","",""
"cg22409276",-0.811244404,0.1193,1.03812e-11,"","",""
"cg23790326",-0.615677097,0.0962,1.55682e-10,"","",""
"cg02232531",-0.341476368,0.0647,1.31344e-07,"","",""
"cg06818515",0.607779854,0.0857,1.30237e-12,"","",""
"cg07243103",-0.377660796,0.0546,4.77938e-12,"","",""
"cg08806263",-0.244153466,0.0429,1.30155e-08,"","",""
"cg08843134",0.444073237,0.082,6.21947e-08,"","",""
"cg09378497",-0.632782037,0.0962,4.76748e-11,"","",""
"cg09876101",-0.312639129,0.0492,2.02381e-10,"","",""
"cg16726667",-0.72995248,0.1148,2.01336e-10,"","",""
"cg19390357",0.610224528,0.1096,2.56779e-08,"","",""
"cg00032419",-1.227515972,0.136,1.83171e-19,"","",""
"cg00265578",-0.903285955,0.1134,1.60539e-15,"","",""
"cg02456708",-0.565444594,0.0849,2.68588e-11,"","",""
"cg02516388",-0.251589323,0.0436,7.78591e-09,"","",""
"cg04029055",-0.564800048,0.0933,1.43633e-09,"","",""
"cg04880618",-0.919122982,0.1579,5.86713e-09,"","",""
"cg05933803",-0.174056108,0.0254,7.46603e-12,"","",""
"cg11122493",-1.090099683,0.1523,8.23478e-13,"","",""
"cg11516830",0.31938968,0.0588,5.56616e-08,"","",""
"cg12025027",-0.613297061,0.112,4.34536e-08,"","",""
"cg13204512",-1.049233212,0.134,4.81321e-15,"","",""
"cg16579555",-1.405488712,0.1531,4.22685e-20,"","",""
"cg18699112",-0.609990566,0.0855,9.91695e-13,"","",""
"cg21919790",-0.52882812,0.0933,1.42603e-08,"","",""
"cg26185554",-0.625018941,0.1039,1.80215e-09,"","",""
"cg03705926",-0.695890473,0.1087,1.50873e-10,"","",""
"cg05288071",0.854780032,0.1292,3.69419e-11,"","",""
"cg08118159",-0.363627138,0.065,2.17205e-08,"","",""
"cg13341720",-0.532252965,0.0858,5.52404e-10,"","",""
"cg13426839",0.73188992,0.1202,1.12517e-09,"","",""
"cg15469014",0.511023103,0.0857,2.45369e-09,"","",""
"cg16200496",-0.721260222,0.1036,3.39902e-12,"","",""
"cg18496502",0.869767689,0.1271,7.69362e-12,"","",""
"cg18873530",-0.446027564,0.0849,1.47191e-07,"","",""
"cg20737072",0.581640124,0.092,2.60626e-10,"","",""
"cg24198953",-0.840737239,0.1314,1.56107e-10,"","",""
"cg24843246",1.123219375,0.1381,4.1569e-16,"","",""
"cg07556403",-0.511341874,0.0857,2.4586e-09,"","",""
"cg09923107",-0.717730208,0.1267,1.48574e-08,"","",""
"cg16364152",0.201132355,0.0364,3.24826e-08,"","",""
"cg22005634",-0.477862954,0.0758,2.96398e-10,"","",""
"cg03779431",-0.378346848,0.0575,4.81423e-11,"","",""
"cg23423230",0.471954303,0.0806,4.6785e-09,"","",""
