cpg,beta,se,p,i2,p_het,details
cg27402634 ,-0.167,0.01514,2.70E-28,,,
cg20340720 ,-0.067,0.00997,1.80E-11,,,
cg25585967 ,0.059,0.00951,5.50E-10,,,
cg26843110 ,-0.059,0.00968,1.10E-09,,,
cg17823829 ,0.077,0.01307,3.80E-09,,,
cg12291408 ,-0.061,0.01073,1.30E-08,,,
cg25589945 ,-0.053,0.01011,1.60E-07,,,
cg14044375 ,-0.054,0.0103,1.60E-07,,,
cg03978169 ,-0.083,0.01645,4.50E-07,,,
cg15205441 ,0.064,0.01296,7.90E-07,,,
cg10090414 ,0.069,0.01434,1.50E-06,,,
cg26223797 ,0.062,0.01295,1.70E-06,,,
cg08692423 ,0.056,0.01189,2.50E-06,,,
cg16044379,-0.072,0.0158,5.20E-06,,,
