"cpg","beta","se","p","i2","p_het","details"
"cg07910065","","",0.858,"","",""
"cg07510539","","",0.305,"","",""
"cg25313468","","",0.826,"","",""
"cg01994779","","",0.264,"","",""
"cg13883939","","",0.324,"","",""
"cg14250274","","",0.25,"","",""
"cg24914313","","",0.283,"","",""
"cg14411527","","",0.333,"","",""
"cg17446956","","",0.846,"","",""
"cg09306188","","",0.932,"","",""
"cg24790184","","",0.806,"","",""
"cg09247619","","",0.803,"","",""
"cg21331461","","",0.216,"","",""
"cg24306142","","",0.191,"","",""
"cg24108286","","",0.176,"","",""
"cg27046528","","",0.883,"","",""
"cg01889020","","",0.17,"","",""
"cg13170076","","",0.705,"","",""
"cg07383130","","",0.181,"","",""
"cg24016044","","",0.156,"","",""
"cg06571687","","",0.802,"","",""
"cg08332866","","",0.93,"","",""
"cg11243029","","",0.682,"","",""
"cg01488306","","",0.907,"","",""
"cg02775353","","",0.872,"","",""
"cg12373072","","",0.122,"","",""
"cg08925066","","",0.0665,"","",""
"cg26128481","","",0.942,"","",""
"cg26654766","","",0.943,"","",""
"cg26206284","","",0.937,"","",""
"cg02910180","","",0.109,"","",""
"cg18251222","","",0.125,"","",""
"cg27475235","","",0.935,"","",""
"cg23310290","","",0.871,"","",""
"cg19687985","","",0.886,"","",""
"cg27492942","","",0.862,"","",""
"cg01235795","","",0.911,"","",""
"cg05855065","","",0.972,"","",""
"cg20418501","","",0.918,"","",""
"cg05085267","","",0.955,"","",""
"cg23250593","","",0.938,"","",""
"cg16090881","","",0.869,"","",""
"cg06493612","","",0.95,"","",""
"cg17667035","","",0.858,"","",""
"cg14472810","","",0.924,"","",""
"cg19089201","","",0.968,"","",""
"cg13706315","","",0.933,"","",""
"cg25022342","","",0.0489,"","",""
"cg18481342","","",0.978,"","",""
"cg22972055","","",0.968,"","",""
"cg02232284","","",0.948,"","",""
"cg11081638","","",0.943,"","",""
"cg03595262","","",0.971,"","",""
"cg02878831","","",0.943,"","",""
"cg15337905","","",0.864,"","",""
"cg07464859","","",0.956,"","",""
"cg07485787","","",0.929,"","",""
"cg00340928","","",0.974,"","",""
"cg02618000","","",0.962,"","",""
"cg11869828","","",0.92,"","",""
"cg02678462","","",0.898,"","",""
"cg11679673","","",0.967,"","",""
"cg14171986","","",0.908,"","",""
"cg08564522","","",0.99,"","",""
"cg21244191","","",0.964,"","",""
"cg20946037","","",0.963,"","",""
"cg02348119","","",0.966,"","",""
"cg18568067","","",0.824,"","",""
"cg26691898","","",0.963,"","",""
"cg00966078","","",0.982,"","",""
"cg02986801","","",0.88,"","",""
"cg11624225","","",0.0313,"","",""
"cg01367899","","",0.957,"","",""
"cg04018288","","",0.0411,"","",""
"cg10015572","","",0.971,"","",""
"cg23043143","","",0.959,"","",""
"cg19599226","","",0.954,"","",""
"cg19517410","","",0.973,"","",""
"cg12550731","","",0.923,"","",""
"cg16580935","","",0.966,"","",""
"cg02770985","","",0.979,"","",""
"cg01531058","","",0.919,"","",""
"cg26566411","","",0.973,"","",""
"cg21074413","","",0.958,"","",""
"cg24114189","","",0.0397,"","",""
"cg00459043","","",0.0328,"","",""
"cg01391650","","",0.956,"","",""
"cg01501406","","",0.944,"","",""
"cg15741162","","",0.963,"","",""
"cg10878307","","",0.969,"","",""
"cg04895975","","",0.971,"","",""
"cg12556164","","",0.961,"","",""
"cg12618251","","",0.0338,"","",""
"cg03319070","","",0.971,"","",""
"cg15203618","","",0.97,"","",""
"cg04852275","","",0.945,"","",""
"cg14691865","","",0.97,"","",""
"cg07397891","","",0.983,"","",""
"cg09313188","","",0.974,"","",""
"cg22709811","","",0.941,"","",""
"cg05831517","","",0.98,"","",""
"cg15341575","","",0.96,"","",""
"cg22779878","","",0.963,"","",""
"cg17882322","","",0.981,"","",""
"cg25637226","","",0.946,"","",""
"cg23878906","","",0.981,"","",""
"cg05772935","","",0.971,"","",""
"cg10457885","","",0.962,"","",""
"cg06178072","","",0.969,"","",""
"cg23047992","","",0.97,"","",""
"cg15426878","","",0.955,"","",""
"cg09916810","","",0.967,"","",""
"cg11439826","","",0.983,"","",""
"cg09547427","","",0.978,"","",""
"cg11208478","","",0.979,"","",""
"cg16162734","","",0.983,"","",""
"cg17984007","","",0.979,"","",""
"cg11704463","","",0.978,"","",""
