"cpg","beta","se","p","i2","p_het","details"
"cg08709672",-4e-04,5.3e-05,4.96e-14,"","",""
"cg20295214",-4e-04,5.3e-05,3.13e-14,"","",""
"cg09935388",-0.0012,0.00015,1.51e-15,"","",""
"cg18316974",-3e-04,5.9e-05,3.75e-07,"","",""
"cg21140898",-5e-04,0.000121,3.52e-05,"","",""
"cg25189904",-9e-04,0.00015,1.87e-09,"","",""
"cg01940273",-0.0013,8.9e-05,6.9e-48,"","",""
"cg03329539",-5e-04,5.6e-05,4.44e-19,"","",""
"cg05951221",-0.0011,0.000106,3.86e-25,"","",""
"cg06644428",-2e-04,5.8e-05,0.000515,"","",""
"cg21566642",-0.002,0.000138,2.59e-47,"","",""
"cg18642234",-3e-04,6e-05,5.16e-07,"","",""
"cg19859270",-3e-04,3.4e-05,1.72e-18,"","",""
"cg05575921",-0.003,0.000161,9.73e-78,"","",""
"cg11554391",-3e-04,5e-05,2.36e-09,"","",""
"cg14817490",-0.001,9.6e-05,2.87e-25,"","",""
"cg21161138",-9e-04,7.5e-05,9.01e-33,"","",""
"cg23576855",-0.003,0.000197,3.73e-52,"","",""
"cg23916896",-5e-04,7.4e-05,1.26e-11,"","",""
"cg25648203",-6e-04,7.7e-05,8.75e-15,"","",""
"cg26703534",-7e-04,5e-05,3.16e-45,"","",""
"cg14580211",-6e-04,7.2e-05,4.89e-17,"","",""
"cg06126421",-0.0012,0.000142,2.85e-17,"","",""
"cg15342087",-4e-04,5.1e-05,3.58e-15,"","",""
"cg02451831",-4e-04,6.7e-05,3e-09,"","",""
"cg22132788",5e-04,9.2e-05,5.99e-08,"","",""
"cg25949550",-3e-04,4.4e-05,8.37e-12,"","",""
"cg14316231",-2e-04,4.8e-05,3.07e-05,"","",""
"cg11660018",-6e-04,6.2e-05,5.43e-22,"","",""
"cg23771366",-6e-04,7.6e-05,2.77e-15,"","",""
"cg13751113",-1e-04,2.5e-05,7.33e-05,"","",""
"cg21611682",-4e-04,5.1e-05,5.51e-15,"","",""
"cg02583484",-3e-04,5.4e-05,3.41e-08,"","",""
"cg05284742",-4e-04,4.4e-05,4.62e-20,"","",""
"cg00310412",-4e-04,4.7e-05,8.34e-18,"","",""
"cg15022400",-2e-04,6e-05,0.000782,"","",""
"cg23161492",-6e-04,9.2e-05,8.14e-11,"","",""
"cg05668853",-3e-04,6e-05,5.45e-07,"","",""
"cg03636183",-0.0016,0.000126,4.55e-37,"","",""
"cg07339236",-3e-04,4.6e-05,6.07e-11,"","",""
