"cpg","beta","se","p","i2","p_het","details"
"cg20335425",-0.12,0.0351,0.00064,"","",""
"cg13375463",0.12,0.0286,2.77e-05,"","",""
"cg24216770",0.15,0.0358,2.77e-05,"","",""
"cg13086983",0.13,0.0271,1.57e-06,"","",""
"cg19430423",-0.19,0.0381,6.29e-07,"","",""
"cg26756782",-0.11,0.0282,9.65e-05,"","",""
"cg09468264",0.12,0.0323,0.000201,"","",""
"cg22724943",0.14,0.0313,7.86e-06,"","",""
"cg00288598",-0.21,0.0507,3.46e-05,"","",""
"cg24705426",0.21,0.0579,0.000284,"","",""
"cg11535638",0.11,0.0275,6.51e-05,"","",""
"cg22100563",-0.18,0.0398,5.97e-06,"","",""
"cg10796749",-0.13,0.0271,1.57e-06,"","",""
"cg09050670",-0.14,0.0342,4.31e-05,"","",""
"cg21920221",-0.21,0.0411,3.14e-07,"","",""
"cg02104952",0.17,0.0365,3.14e-06,"","",""
