"cpg","beta","se","p","i2","p_het","details"
"cg04983687",-1.8452,0.4462,3.54e-05,"","",""
"cg09249800",-1.959,0.4462,1.13e-05,"","",""
"cg12819873",-3.1011,0.7823,7.37e-05,"","",""
"cg07908654",-2.273,0.5781,8.44e-05,"","",""
"cg06824199",-2.6173,0.7021,0.000193,"","",""
"cg27469152",-3.6889,0.9198,6.06e-05,"","",""
"cg27468224",-2.6173,0.752,0.000501,"","",""
"cg13233042",-2.2538,0.6022,0.000182,"","",""
"cg13197551",-2.3645,0.6857,0.000564,"","",""
"cg07765167",-3.1466,0.9165,0.000596,"","",""
"cg09332506",-2.0715,0.712,0.00362,"","",""
"cg17041511",-2.5903,0.7737,0.000814,"","",""
"cg24836822",-1.4917,0.4407,0.000713,"","",""
"cg07970948",-2.2164,0.606,0.000255,"","",""
"cg25854298",-1.9379,0.6001,0.00124,"","",""
"cg09635874",0.952,0.8171,0.244,"","",""
"cg04085542",0.2231,0.3714,0.548,"","",""
"cg03553407",0.88,0.6745,0.192,"","",""
"cg12819826",-1.474,0.7184,0.0402,"","",""
"cg00854799",1.075,0.6195,0.0827,"","",""
"cg05652668",-0.6597,0.5603,0.239,"","",""
"cg17971837",-2.2828,1.1176,0.0411,"","",""
