"cpg","beta","se","p","i2","p_het","details"
"cg10823707",-0.12465,0.019,5.51e-11,"","",""
"cg01953482",0.09259,0.0141,5.52e-11,"","",""
"cg10413352",-0.11402,0.0174,5.52e-11,"","",""
"cg11475259",-0.21182,0.0323,5.52e-11,"","",""
"cg14329989",0.10399,0.0159,5.52e-11,"","",""
"cg12878216",0.16138,0.0246,5.53e-11,"","",""
"cg01381130",0.11204,0.0171,5.53e-11,"","",""
"cg14373727",-0.19903,0.0304,5.54e-11,"","",""
"cg09373875",0.14988,0.0229,5.55e-11,"","",""
"cg25499397",-0.20783,0.0317,5.55e-11,"","",""
"cg24314288",0.23718,0.0362,5.55e-11,"","",""
"cg05142835",-0.11556,0.0176,5.55e-11,"","",""
"cg08722395",-0.21585,0.0329,5.56e-11,"","",""
"cg14014854",0.10046,0.0153,5.57e-11,"","",""
"cg19185339",0.36008,0.0549,5.57e-11,"","",""
"cg12995121",0.09723,0.0148,5.58e-11,"","",""
"cg21992696",0.12372,0.0189,5.58e-11,"","",""
"cg06990571",0.11422,0.0174,5.59e-11,"","",""
"cg15633035",0.11714,0.0179,5.59e-11,"","",""
"cg22584618",0.15676,0.0239,5.59e-11,"","",""
"cg03941745",0.23123,0.0353,5.59e-11,"","",""
"cg18372196",-0.1018,0.0155,5.6e-11,"","",""
"cg18484162",-0.11389,0.0174,5.6e-11,"","",""
"cg01983293",0.21937,0.0335,5.6e-11,"","",""
"cg17178175",0.17529,0.0267,5.6e-11,"","",""
"cg16843718",-0.09774,0.0149,5.6e-11,"","",""
"cg00498804",0.15177,0.0232,5.6e-11,"","",""
"cg14607660",0.14323,0.0219,5.61e-11,"","",""
"cg20164964",0.16391,0.025,5.61e-11,"","",""
"cg14182461",0.10747,0.0164,5.62e-11,"","",""
"cg04953238",-0.14175,0.0216,5.62e-11,"","",""
"cg25388264",-0.04716,0.0072,5.63e-11,"","",""
"cg24430578",-0.09842,0.015,5.65e-11,"","",""
"cg13924998",-0.14012,0.0214,5.65e-11,"","",""
"cg24166457",-0.09069,0.0138,5.65e-11,"","",""
"cg00873009",0.15412,0.0235,5.66e-11,"","",""
"cg23220439",-0.12689,0.0194,5.67e-11,"","",""
"cg02692938",0.19961,0.0305,5.67e-11,"","",""
"cg05593559",0.19072,0.0291,5.67e-11,"","",""
"cg15202102",0.07802,0.0119,5.68e-11,"","",""
"cg07910488",-0.13591,0.0207,5.68e-11,"","",""
"cg03508504",0.15613,0.0238,5.68e-11,"","",""
"cg21304619",0.15546,0.0237,5.69e-11,"","",""
"cg07931844",-0.09235,0.0141,5.69e-11,"","",""
"cg10861599",-0.1402,0.0214,5.69e-11,"","",""
"cg18655915",0.19184,0.0293,5.69e-11,"","",""
"cg22386492",0.15832,0.0242,5.7e-11,"","",""
"cg10117369",-0.0967,0.0148,5.7e-11,"","",""
