"cpg","beta","se","p","i2","p_het","details"
"cg13612055",-0.262,0.031,2.6e-17,"","",""
"cg07133434",-0.235,0.0537,1.2e-05,"","",""
"cg17156491",-0.016,0.0038,2.2e-05,"","",""
"cg23919742",0.058,0.0494,0.24,"","",""
"cg10536999",-0.005,0.0019,0.0078,"","",""
"cg00863306",-0.004,0.0019,0.038,"","",""
"cg26110130",-0.008,0.0023,0.00044,"","",""
"cg19228848",-0.003,0.0013,0.023,"","",""
"cg11061603",-0.002,6e-04,0.0018,"","",""
"cg20752903",0.002,6e-04,0.00061,"","",""
"cg15112369",-0.003,0.001,0.0017,"","",""
"cg16782117",-0.004,0.0018,0.027,"","",""
"cg02896705",0.009,0.0026,0.00063,"","",""
"cg24552128",0.006,0.0011,8e-08,"","",""
"cg13420004",0.005,0.0013,0.00015,"","",""
"cg07509464",0.006,0.0016,0.00019,"","",""
"cg06656005",0.006,0.0016,0.00016,"","",""
"cg04535340",-0.002,5e-04,1.4e-05,"","",""
"cg19693031",-0.029,0.0057,4.5e-07,"","",""
"cg01820374",-0.011,0.0034,0.0012,"","",""
"cg06284479",0.006,0.0017,4e-04,"","",""
"cg10071929",0.074,0.014,1.3e-07,"","",""
"cg04398759",0.007,0.0016,9.1e-06,"","",""
"cg27492596",0.006,0.0023,0.01,"","",""
"cg26328335",-0.01,0.0035,0.0043,"","",""
"cg19130313",0.004,9e-04,1.4e-05,"","",""
"cg15009232",0.008,0.0017,2.8e-06,"","",""
"cg19475108",0.004,0.0012,0.00069,"","",""
"cg17066943",-0.005,0.0016,0.0015,"","",""
"cg03318904",0.009,0.0025,4e-04,"","",""
"cg01631333",-0.018,0.0042,2.2e-05,"","",""
"cg09359751",0.004,0.0012,0.001,"","",""
"cg26990733",-0.005,0.0013,0.00014,"","",""
"cg13666267",-0.008,0.003,0.008,"","",""
"cg02026141",0.038,0.0101,0.00016,"","",""
"cg00562180",-0.011,0.0032,7e-04,"","",""
"cg17514168",0.006,0.0021,0.0041,"","",""
"cg15299536",0.004,0.0011,0.00037,"","",""
"cg00093686",-0.008,0.0018,1.1e-05,"","",""
