cpg,beta,se,p,i2,p_het,details
cg13612055,-0.019,0.0394,0.63,,,
cg07133434,0.028,0.0326,0.39,,,
cg17156491,0.002,0.0063,0.75,,,
cg23919742,0.004,0.0455,0.93,,,
cg10536999,0,,0.93,,,
cg00863306,0.001,0.0042,0.81,,,
cg26110130,-0.002,0.0063,0.75,,,
cg19228848,0.001,0.0031,0.75,,,
cg11061603,0,,0.81,,,
cg20752903,0.001,0.001,0.34,,,
cg15112369,0,,0.96,,,
cg16782117,0,,0.97,,,
cg02896705,-0.001,0.0057,0.86,,,
cg24552128,0,,0.9,,,
cg13420004,0.002,0.0039,0.61,,,
cg07509464,0.002,0.0035,0.57,,,
cg06656005,-0.003,0.0033,0.37,,,
cg04535340,0,,0.75,,,
cg19693031,-0.031,0.0072,1.90E-05,,,
cg01820374,-0.005,0.0048,0.3,,,
cg06284479,-0.005,0.003,0.097,,,
cg10071929,0.024,0.0209,0.25,,,
cg04398759,0,,0.95,,,
cg27492596,-0.006,0.003,0.047,,,
cg26328335,0.003,0.0049,0.54,,,
cg19130313,-0.004,0.002,0.046,,,
cg15009232,-0.004,0.0039,0.31,,,
cg19475108,0.001,0.002,0.62,,,
cg17066943,-0.005,0.0026,0.055,,,
cg03318904,0.008,0.0034,0.02,,,
cg01631333,-0.008,0.0087,0.36,,,
cg09359751,0.002,0.0025,0.43,,,
cg26990733,-0.001,0.0021,0.63,,,
cg13666267,-0.002,0.0048,0.68,,,
cg02026141,0.005,0.0179,0.78,,,
cg00562180,-0.011,0.0063,0.083,,,
cg17514168,-0.004,0.0038,0.29,,,
cg15299536,0.004,0.0032,0.21,,,
cg00093686,0.001,0.0053,0.85,,,
