cpg,beta,se,p,i2,p_het,details
cg13612055,-0.013,0.0337,0.7,,,
cg07133434,0.012,0.0191,0.53,,,
cg17156491,0.002,0.0058,0.73,,,
cg23919742,0.006,0.0237,0.8,,,
cg10536999,0.002,0.0043,0.64,,,
cg00863306,0,,0.85,,,
cg26110130,0.004,0.0069,0.56,,,
cg19228848,0.002,0.0021,0.33,,,
cg11061603,0,,0.92,,,
cg20752903,0.001,6.00E-04,0.084,,,
cg15112369,0,,0.88,,,
cg16782117,0.001,0.0088,0.91,,,
cg02896705,-0.001,0.0066,0.88,,,
cg24552128,-0.001,0.0034,0.77,,,
cg13420004,0.001,0.0031,0.75,,,
cg07509464,-0.001,0.0018,0.58,,,
cg06656005,-0.003,0.0028,0.29,,,
cg04535340,0,,0.65,,,
cg19693031,-0.036,0.0072,4.80E-07,,,
cg01820374,-0.002,0.0045,0.66,,,
cg06284479,-0.003,0.003,0.32,,,
cg10071929,0.005,0.0179,0.78,,,
cg04398759,-0.002,0.0028,0.47,,,
cg27492596,-0.004,0.0027,0.14,,,
cg26328335,-0.001,0.0044,0.82,,,
cg19130313,-0.004,0.0024,0.1,,,
cg15009232,-0.006,0.003,0.046,,,
cg19475108,0.003,0.0029,0.3,,,
cg17066943,-0.005,0.0026,0.056,,,
cg03318904,0.001,0.0061,0.87,,,
cg01631333,-0.004,0.0062,0.52,,,
cg09359751,0,,0.84,,,
cg26990733,0.001,0.0044,0.82,,,
cg13666267,-0.005,0.0047,0.29,,,
cg02026141,0.01,0.0152,0.51,,,
cg00562180,-0.013,0.0054,0.017,,,
cg17514168,-0.003,0.0047,0.52,,,
cg15299536,0.004,0.0026,0.12,,,
cg00093686,-0.001,0.002,0.62,,,
