"cpg","beta","se","p","i2","p_het","details"
"cg26279152",0.02001,0.0035,9.75e-09,"","",""
"cg09011601",0.00672,0.0012,9.75e-09,"","",""
"cg09175915",-0.01685,0.0029,9.75e-09,"","",""
"cg14651457",0.00759,0.0013,9.75e-09,"","",""
"cg09163478",-0.02187,0.0038,9.75e-09,"","",""
"cg02083373",0.00465,8e-04,9.75e-09,"","",""
"cg21634365",0.01116,0.0019,9.75e-09,"","",""
"cg09188300",0.00538,9e-04,9.76e-09,"","",""
"cg13675051",-0.01346,0.0023,9.76e-09,"","",""
"cg20699960",-0.00496,9e-04,9.76e-09,"","",""
"cg20996887",-0.034,0.0059,9.76e-09,"","",""
"cg12296218",0.00341,6e-04,9.76e-09,"","",""
"cg06273413",0.00487,8e-04,9.76e-09,"","",""
"cg25175508",-0.01824,0.0032,9.76e-09,"","",""
"cg12725599",0.01826,0.0032,9.76e-09,"","",""
"cg23668004",0.00845,0.0015,9.77e-09,"","",""
"cg13074572",-0.01622,0.0028,9.77e-09,"","",""
"cg10488833",-0.02025,0.0035,9.77e-09,"","",""
"cg07585727",-0.02719,0.0047,9.77e-09,"","",""
"cg04879281",0.01693,0.003,9.77e-09,"","",""
"cg18997422",0.00495,9e-04,9.77e-09,"","",""
"cg22876643",0.0108,0.0019,9.78e-09,"","",""
"cg16899598",0.00696,0.0012,9.79e-09,"","",""
"cg18904784",0.00837,0.0015,9.79e-09,"","",""
"cg06436655",0.00663,0.0012,9.79e-09,"","",""
"cg20555564",0.01859,0.0032,9.8e-09,"","",""
"cg02906863",-0.01876,0.0033,9.8e-09,"","",""
"cg18548362",0.01368,0.0024,9.8e-09,"","",""
"cg09061733",-0.01727,0.003,9.8e-09,"","",""
"cg13029731",0.00833,0.0015,9.81e-09,"","",""
"cg09126527",0.00709,0.0012,9.81e-09,"","",""
"cg15674367",0.00894,0.0016,9.81e-09,"","",""
"cg15856055",0.012,0.0021,9.81e-09,"","",""
"cg02929734",0.00578,0.001,9.81e-09,"","",""
"cg19197652",-0.01382,0.0024,9.82e-09,"","",""
"cg22092126",-0.01794,0.0031,9.82e-09,"","",""
"cg13558608",0.00462,8e-04,9.82e-09,"","",""
"cg05321960",0.00823,0.0014,9.82e-09,"","",""
"cg20215112",0.01219,0.0021,9.82e-09,"","",""
"cg00239003",0.014,0.0024,9.83e-09,"","",""
"cg03301945",0.00529,9e-04,9.83e-09,"","",""
"cg10663936",-0.02862,0.005,9.83e-09,"","",""
"cg17676237",0.0043,7e-04,9.83e-09,"","",""
"cg01392062",-0.01723,0.003,9.84e-09,"","",""
"cg04520401",0.00439,8e-04,9.84e-09,"","",""
"cg21333665",0.00627,0.0011,9.85e-09,"","",""
"cg02580604",0.01297,0.0023,9.85e-09,"","",""
"cg22751101",0.00525,9e-04,9.85e-09,"","",""
"cg03278146",0.00971,0.0017,9.85e-09,"","",""
"cg00014085",0.00806,0.0014,9.85e-09,"","",""
"cg17807554",-0.00981,0.0017,9.85e-09,"","",""
"cg24455359",0.00457,8e-04,9.85e-09,"","",""
"cg26888147",-0.0309,0.0054,9.86e-09,"","",""
"cg19037652",0.00591,0.001,9.86e-09,"","",""
