"cpg","beta","se","p","i2","p_het","details"
"cg01751800",-0.017,0.0043,8.5e-05,"","",""
"cg02711608",-0.021,0.006,5e-04,"","",""
"cg03979241",0.03,0.0072,3.2e-05,"","",""
"cg04161365",-0.028,0.0074,0.00014,"","",""
"cg06500161",0.021,0.007,0.0027,"","",""
"cg06946797",-0.017,0.0047,0.00033,"","",""
"cg07092212",-0.067,0.0137,9.5e-07,"","",""
"cg09349128*",-0.019,0.0071,0.0077,"","",""
"cg09469355",-0.019,0.0064,0.0031,"","",""
"cg09613192",0.013,0.0038,0.00061,"","",""
"cg09694782",-0.031,0.0062,5.1e-07,"","",""
"cg11307565",-0.029,0.0079,0.00024,"","",""
"cg11376147",-0.043,0.0133,0.0012,"","",""
"cg11990813",0.059,0.0131,6.7e-06,"","",""
"cg12593793",-0.011,0.0079,0.166,"","",""
"cg13016916",0.015,0.0029,3.1e-07,"","",""
"cg15309457*",-0.017,0.0049,0.00055,"","",""
"cg17266233",-0.087,0.0174,5.7e-07,"","",""
"cg17588294",-0.027,0.0072,0.00018,"","",""
"cg17971578",-0.019,0.0069,0.0057,"","",""
"cg18337963",-0.063,0.013,1.3e-06,"","",""
"cg20477259",-0.031,0.0103,0.0026,"","",""
"cg22065733",-0.057,0.0112,3.8e-07,"","",""
"cg22798214",-0.024,0.0068,0.00043,"","",""
"cg23899654",-0.068,0.0136,5.6e-07,"","",""
"cg27434584*",0.038,0.0079,1.3e-06,"","",""
