"cpg","beta","se","p","i2","p_het","details"
"cg01751800",-0.022,0.0047,2.5e-06,"","",""
"cg02711608",-0.033,0.0068,1.1e-06,"","",""
"cg03979241",0.037,0.0079,2.8e-06,"","",""
"cg04161365",-0.04,0.0083,1.3e-06,"","",""
"cg06500161",0.047,0.0075,3.9e-10,"","",""
"cg06946797",-0.027,0.0054,6.6e-07,"","",""
"cg07092212",-0.083,0.0153,5.6e-08,"","",""
"cg09349128*",-0.036,0.0075,1.8e-06,"","",""
"cg09469355",-0.034,0.0071,1.6e-06,"","",""
"cg09613192",0.021,0.0041,3.4e-07,"","",""
"cg09694782",-0.037,0.0068,6.4e-08,"","",""
"cg11307565",-0.04,0.0085,2.8e-06,"","",""
"cg11376147",-0.079,0.0145,5.1e-08,"","",""
"cg11990813",0.071,0.0147,1.4e-06,"","",""
"cg12593793",-0.042,0.0086,1e-06,"","",""
"cg13016916",0.016,0.0033,8.7e-07,"","",""
"cg15309457*",-0.025,0.0052,1.9e-06,"","",""
"cg17266233",-0.102,0.0194,1.4e-07,"","",""
"cg17588294",-0.038,0.0081,2.5e-06,"","",""
"cg17971578",-0.039,0.0075,1.8e-07,"","",""
"cg18337963",-0.069,0.0143,1.5e-06,"","",""
"cg20477259",-0.055,0.0111,6.5e-07,"","",""
"cg22065733",-0.067,0.0123,5.2e-08,"","",""
"cg22798214",-0.035,0.0074,2.4e-06,"","",""
"cg23899654",-0.072,0.0149,1.4e-06,"","",""
"cg27434584*",0.041,0.0087,2.6e-06,"","",""
