"cpg","beta","se","p","i2","p_het","details"
"cg03581271",0.035,0.007,5.2e-07,"","",""
"cg06500161",0.018,0.0069,0.0086,"","",""
"cg07092212",-0.066,0.0141,2.8e-06,"","",""
"cg09613192",0.013,0.0037,0.00047,"","",""
"cg09694782",-0.031,0.0062,4.7e-07,"","",""
"cg11376147",-0.041,0.0134,0.0023,"","",""
"cg13016916",0.015,0.003,5.1e-07,"","",""
"cg17266233",-0.088,0.0177,6.3e-07,"","",""
"cg17971578",-0.019,0.0068,0.0055,"","",""
"cg22065733",-0.057,0.0114,5.3e-07,"","",""
"cg23899654",-0.068,0.0136,6.1e-07,"","",""
