cpg,beta,p
cg00574958,-0.063,0.03
cg01751800,-0.014,0.032
cg02711608,-0.01,0.296
cg03979241,0.042,0.0006
cg04161365,-0.018,0.12
cg06500161,0.04,0.0002
cg06946797,-0.025,0.0014
cg07504977,0.01,0.106
cg09469355,-0.02,0.059
cg09694782,-0.031,0.0016
cg11024682,0.031,0.022
cg11307565,-0.036,0.0034
cg11376147,-0.046,0.036
cg11990813,0.058,0.0077
cg12593793,-0.01,0.439
cg13016916,0.013,0.004
cg15309457*,-0.005,0.498
cg17588294,-0.02,0.086
cg17971578,-0.022,0.067
cg20477259,-0.015,0.378
cg27434584*,0.032,0.015
