cpg,beta,se,p,i2,p_het,details
cg12283362,-0.0007,0.00014,1.78E-07,,,
cg24172570,-0.0004,0.00008,3.01E-07,,,
cg08973675,0.0005,0.00011,2.20E-06,,,
cg17988310,0.0004,0.00009,5.25E-06,,,
cg14582546,0.0005,0.00011,5.50E-06,,,
cg12276768,0.0003,0.00006,5.60E-06,,,
cg21660604,0.0002,0.00003,8.36E-06,,,
cg26815688,-0.0002,0.00005,9.03E-06,,,
cg03860665,0.0002,0.00005,9.17E-06,,,
cg08301459,0.0002,0.00003,9.58E-06,,,
cg04757012,0.0001,0.00003,1.01E-05,,,
cg12537437,-0.0004,0.00008,1.02E-05,,,
cg01828548,-0.0005,0.00011,1.08E-05,,,
cg26386968,-0.0007,0.00015,1.15E-05,,,
cg12657416,0.0103,0.00236,1.22E-05,,,
cg03728580,0.0003,0.00007,1.43E-05,,,
cg21022949,0.0001,0.00002,1.51E-05,,,
cg06840305,-0.0002,0.00004,1.51E-05,,,
cg11075121,0.0002,0.00004,1.66E-05,,,
cg03271173,-0.0003,0.00006,1.70E-05,,,
cg25407888,0.0003,0.00006,1.98E-05,,,
cg24316255,-0.0003,0.00006,2.00E-05,,,
cg08314949,0.0013,0.00031,2.06E-05,,,
cg01889112,0.0002,0.00004,2.29E-05,,,
cg26504614,-0.0005,0.00011,2.59E-05,,,
