cpg,beta,se,p,i2,p_het,details
cg10311104,0.008043108,,9.75E-10,,,
cg08752433,0.027770848,,1.05E-09,,,
cg26314722,0.018535387,,1.73E-09,,,
cg24054898,0.016409576,,5.91E-09,,,
cg23684410,0.024033953,,6.13E-09,,,
cg00945209,0.019093021,,9.66E-09,,,
cg18518074,0.022855033,,1.03E-08,,,
cg09706133,0.012348815,,1.31E-08,,,
cg21522988,0.020613655,,1.80E-08,,,
cg02656560,0.016851095,,3.14E-08,,,
cg11418177,0.020295683,,3.50E-08,,,
cg06736148,0.021429008,,3.68E-08,,,
cg08655071,0.017433777,,4.74E-08,,,
cg00829438,-0.010181852,,5.26E-08,,,
cg27541604,0.016481329,,5.57E-08,,,
cg03149593,-0.012441458,,5.98E-08,,,
cg14178364,0.014365643,,6.43E-08,,,
cg14038731,0.014217769,,6.70E-08,,,
cg20737259,-0.030876809,,7.79E-08,,,
cg09470958,0.012014627,,8.35E-08,,,
cg13803727,0.014287715,,8.65E-08,,,
cg03402926,0.017230212,,8.77E-08,,,
cg07326387,-0.020983808,,9.16E-08,,,
cg00092992,0.017956118,,9.69E-08,,,
cg03665078,0.015754813,,9.98E-08,,,
cg17327171,0.015343337,,1.03E-07,,,
cg17598574,0.014968832,,1.08E-07,,,
cg25700513,0.016253926,,1.12E-07,,,
cg16704703,0.022660399,,1.14E-07,,,
cg21890646,0.01965262,,1.23E-07,,,
cg09682727,0.016333387,,1.23E-07,,,
cg03411579,0.023558176,,1.26E-07,,,
cg15063951,-0.012283725,,1.37E-07,,,
cg05304729,0.024021713,,1.58E-07,,,
cg24003273,-0.024862654,,1.62E-07,,,
cg02183564,0.017287624,,1.62E-07,,,
cg05126095,0.018441884,,1.64E-07,,,
cg04232615,0.008675848,,1.91E-07,,,
cg24803637,-0.009479812,,1.99E-07,,,
cg02488934,0.020698559,,2.00E-07,,,
cg10833838,0.016804202,,2.11E-07,,,
cg24918798,-0.026891509,,2.12E-07,,,
cg07739398,-0.023902785,,2.17E-07,,,
cg05726118,0.019385888,,2.22E-07,,,
cg18675847,-0.014282312,,2.33E-07,,,
cg05995496,0.017288405,,2.58E-07,,,
cg03328526,0.008130114,,2.60E-07,,,
cg23480341,0.013370873,,2.65E-07,,,
cg10461878,0.017980704,,2.66E-07,,,
cg06180389,0.021028863,,2.73E-07,,,
cg03117379,0.016746282,,2.97E-07,,,
cg17452625,-0.016327945,,3.36E-07,,,
cg09130043,0.014307781,,3.39E-07,,,
cg21598389,-0.030119073,,3.51E-07,,,
cg03655692,0.018889053,,3.62E-07,,,
cg02739853,-0.019405952,,3.62E-07,,,
cg21508639,0.018916255,,3.63E-07,,,
cg11821200,0.020367348,,3.86E-07,,,
cg10787197,0.019504349,,4.30E-07,,,
cg12178432,-0.026270138,,4.41E-07,,,
cg25811526,0.015112989,,4.50E-07,,,
cg11074362,-0.025866847,,4.51E-07,,,
cg04738673,-0.017060594,,4.92E-07,,,
cg03950873,0.015488585,,5.06E-07,,,
cg10812889,0.018976536,,5.09E-07,,,
cg14130119,-0.024442726,,5.31E-07,,,
cg26635346,-0.029863664,,5.36E-07,,,
cg16107640,-0.009586484,,5.84E-07,,,
cg26076905,0.014796501,,5.98E-07,,,
cg24251448,-0.009077866,,6.01E-07,,,
cg16634901,-0.014420535,,6.04E-07,,,
cg10218777,-0.028876603,,6.06E-07,,,
cg02570888,0.025982692,,6.23E-07,,,
cg06621080,0.018494469,,6.89E-07,,,
cg22148297,0.007028434,,7.05E-07,,,
cg07600998,0.013745656,,7.26E-07,,,
cg26176204,0.023962742,,7.30E-07,,,
cg27658031,0.004738795,,7.35E-07,,,
cg22040158,0.013449071,,7.44E-07,,,
cg26959655,0.013187389,,7.49E-07,,,
cg06454464,-0.0109572,,7.58E-07,,,
cg17680696,-0.009306145,,7.85E-07,,,
cg08551248,0.008581461,,8.09E-07,,,
cg10938899,-0.023139799,,8.19E-07,,,
cg07442040,-0.023230273,,8.26E-07,,,
cg16489360,0.020084159,,8.64E-07,,,
cg14485357,0.013003735,,8.69E-07,,,
cg15485496,-0.009814601,,8.81E-07,,,
cg14214460,-0.018411871,,8.91E-07,,,
cg12044923,0.013283529,,8.91E-07,,,
cg14646983,0.011132575,,8.97E-07,,,
cg21463790,-0.01670391,,9.02E-07,,,
cg15586341,-0.022350316,,9.41E-07,,,
cg22569154,-0.022057616,,9.75E-07,,,
cg10798745,0.020691254,,1.01E-06,,,
cg20077042,-0.009365083,,1.01E-06,,,
cg03839714,-0.021069472,,1.02E-06,,,
cg08335583,0.004648467,,1.04E-06,,,
cg18234973,-0.008883434,,1.06E-06,,,
cg17829914,-0.024903039,,1.08E-06,,,
cg00013349,-0.023478235,,1.08E-06,,,
cg20021513,-0.008535633,,1.08E-06,,,
cg01177470,0.020302501,,1.08E-06,,,
cg13551229,-0.009698258,,1.08E-06,,,
cg18700744,0.017831666,,1.09E-06,,,
cg24002522,-0.01577642,,1.13E-06,,,
cg16671238,0.011806836,,1.13E-06,,,
cg22007739,-0.024973989,,1.16E-06,,,
cg04930463,-0.012019932,,1.17E-06,,,
cg16587006,-0.008607632,,1.18E-06,,,
cg20765441,0.021692869,,1.19E-06,,,
cg14214182,0.008494565,,1.19E-06,,,
cg25488990,0.014568894,,1.20E-06,,,
cg04409872,-0.019867899,,1.21E-06,,,
cg26878209,0.017806736,,1.22E-06,,,
cg14655858,-0.019029839,,1.22E-06,,,
cg11971423,-0.018651644,,1.25E-06,,,
cg05290708,0.007844483,,1.27E-06,,,
cg05916783,0.004861959,,1.27E-06,,,
cg14662009,0.013417268,,1.29E-06,,,
cg17802220,-0.021182452,,1.29E-06,,,
cg21120249,-0.017684918,,1.29E-06,,,
cg10344369,0.01416536,,1.30E-06,,,
cg16197879,-0.009805683,,1.32E-06,,,
cg01750221,-0.02640231,,1.36E-06,,,
cg15981982,0.017550814,,1.39E-06,,,
cg03008815,0.015226836,,1.39E-06,,,
cg17493391,-0.017015418,,1.48E-06,,,
cg17694130,0.018425036,,1.48E-06,,,
cg04463911,-0.018412653,,1.49E-06,,,
cg24004007,-0.009757923,,1.50E-06,,,
cg20994118,0.014855642,,1.51E-06,,,
cg21163972,0.01044945,,1.53E-06,,,
cg19755435,0.025160748,,1.56E-06,,,
cg10073696,-0.009201871,,1.57E-06,,,
cg25279613,0.018509462,,1.58E-06,,,
cg06802985,0.015633348,,1.59E-06,,,
cg06326425,0.011933445,,1.61E-06,,,
cg14938410,0.005839784,,1.61E-06,,,
cg19361615,-0.018690878,,1.62E-06,,,
cg17852482,0.013524793,,1.62E-06,,,
cg11046602,0.016505995,,1.64E-06,,,
cg01027532,0.010867823,,1.68E-06,,,
cg13716074,0.005246333,,1.69E-06,,,
cg20683445,-0.010175448,,1.69E-06,,,
cg05862438,0.013108031,,1.70E-06,,,
cg04949225,0.017623329,,1.70E-06,,,
cg06483802,0.009764849,,1.71E-06,,,
cg13823234,-0.009793587,,1.74E-06,,,
cg05287817,0.005708755,,1.74E-06,,,
cg08080174,0.015445001,,1.77E-06,,,
cg20730966,0.016010634,,1.79E-06,,,
cg10806645,0.014275814,,1.80E-06,,,
cg15978017,0.012416088,,1.81E-06,,,
cg12763430,0.022730116,,1.83E-06,,,
cg12288982,-0.015643327,,1.86E-06,,,
cg14234112,0.005852495,,1.89E-06,,,
cg20975182,-0.018715764,,1.90E-06,,,
