cpg,beta,se,p,i2,p_het,details
cg02211433,0.000236696,3.43E-05,7.27E-12,,,
cg11643285,0.000276606,4.88E-05,1.70E-08,,,
cg15973528,0.000136776,2.57E-05,1.19E-07,,,
cg10335543,0.000155839,2.96E-05,1.61E-07,,,
cg20926353,0.000438032,8.64E-05,4.32E-07,,,
cg12949927,0.000357023,7.06E-05,4.60E-07,,,
cg26047920,-0.000279198,5.60E-05,6.84E-07,,,
cg18156845,-0.000201305,4.06E-05,7.67E-07,,,
cg11955727,0.000355821,7.25E-05,9.91E-07,,,
cg20291779,-0.000101535,2.07E-05,1.07E-06,,,
cg04440125,0.000159751,3.34E-05,1.91E-06,,,
cg12515517,-0.000178439,3.76E-05,2.21E-06,,,
cg20917083,-8.79E-05,1.90E-05,4.09E-06,,,
cg22501294,0.00021659,4.76E-05,5.73E-06,,,
cg06330558,0.000200077,4.41E-05,5.95E-06,,,
cg04190002,0.000160413,3.60E-05,8.70E-06,,,
cg06650256,-0.000264732,5.99E-05,1.05E-05,,,
cg26832686,-0.00012845,2.93E-05,1.19E-05,,,
cg07243366,0.000339517,7.75E-05,1.25E-05,,,
cg26697605,-0.000283476,6.55E-05,1.57E-05,,,
cg07740693,8.95E-05,2.07E-05,1.59E-05,,,
cg19324313,-0.000238206,5.52E-05,1.70E-05,,,
cg04874239,0.000162564,3.77E-05,1.74E-05,,,
cg24693635,-0.00018111,4.21E-05,1.78E-05,,,
cg11809157,7.65E-05,1.79E-05,1.93E-05,,,
cg18102575,0.000100843,2.35E-05,1.94E-05,,,
cg06181187,-0.00052684,0.000123198,2.00E-05,,,
cg18454218,-0.000280577,6.56E-05,2.01E-05,,,
cg09308608,-8.08E-05,1.89E-05,2.05E-05,,,
cg10338338,-0.000301124,7.05E-05,2.05E-05,,,
cg07458712,-0.000193092,4.53E-05,2.14E-05,,,
cg02920216,-0.000510486,0.000119843,2.15E-05,,,
cg01230207,0.000182519,4.29E-05,2.15E-05,,,
cg03098361,-7.61E-05,1.79E-05,2.28E-05,,,
cg19089711,0.000206873,4.87E-05,2.29E-05,,,
cg04724489,-0.000109364,2.58E-05,2.31E-05,,,
cg07091220,0.000503557,0.000118677,2.31E-05,,,
cg20837626,-0.000170972,4.03E-05,2.35E-05,,,
cg08367465,-0.000183287,4.33E-05,2.43E-05,,,
cg08167706,0.000134861,3.21E-05,2.72E-05,,,
cg18038625,0.000433975,0.000103278,2.77E-05,,,
cg09220050,0.000236942,5.64E-05,2.83E-05,,,
cg09232103,0.00017716,4.22E-05,2.86E-05,,,
cg07448679,0.000157019,3.76E-05,3.13E-05,,,
cg20123298,-0.000296685,7.12E-05,3.26E-05,,,
cg21812476,-0.000179259,4.34E-05,3.77E-05,,,
cg06587969,6.39E-05,1.55E-05,3.79E-05,,,
cg04035553,-0.001117771,0.000270945,3.87E-05,,,
cg26180612,4.99E-05,1.21E-05,3.97E-05,,,
cg04831728,6.86E-05,1.67E-05,4.13E-05,,,
cg10390762,0.000105687,2.57E-05,4.23E-05,,,
cg04822018,0.000191992,4.68E-05,4.30E-05,,,
cg08656326,0.000245679,6.00E-05,4.46E-05,,,
cg22209624,0.00013942,3.43E-05,4.95E-05,,,
cg12103628,-0.000158,3.89E-05,5.06E-05,,,
cg25399352,0.000380789,9.38E-05,5.08E-05,,,
cg25429719,-0.000745457,0.000183579,5.10E-05,,,
cg20999167,-0.000192826,4.75E-05,5.14E-05,,,
cg10047755,0.000417814,0.000103062,5.24E-05,,,
cg00790835,-0.000157464,3.89E-05,5.49E-05,,,
cg04227701,-6.12E-05,1.52E-05,5.73E-05,,,
cg02548606,-8.21E-05,2.04E-05,5.77E-05,,,
cg07285953,0.000141086,3.50E-05,5.84E-05,,,
cg03911306,0.000364545,9.05E-05,5.88E-05,,,
cg21827986,-0.000438815,0.000109021,5.93E-05,,,
cg07028951,0.000120917,3.01E-05,6.15E-05,,,
cg24315833,0.000322035,8.03E-05,6.28E-05,,,
cg20296532,0.000324402,8.09E-05,6.32E-05,,,
cg20358313,-0.000189919,4.74E-05,6.39E-05,,,
cg13563728,0.000164403,4.11E-05,6.45E-05,,,
cg13771313,-0.000633565,0.000158337,6.55E-05,,,
cg26518327,-7.54E-05,1.88E-05,6.58E-05,,,
cg19503249,0.000690411,0.000172611,6.59E-05,,,
cg02011981,-0.000180961,4.53E-05,6.68E-05,,,
cg24599065,0.000401742,0.000100556,6.72E-05,,,
cg16561487,-0.000163523,4.09E-05,6.74E-05,,,
cg00243922,0.000219668,5.50E-05,6.75E-05,,,
cg03413810,0.000125013,3.13E-05,6.87E-05,,,
cg18755728,0.000112591,2.82E-05,6.94E-05,,,
cg14732815,0.000166697,4.18E-05,7.02E-05,,,
cg03294491,0.000257798,6.47E-05,7.03E-05,,,
cg26879538,0.000177742,4.46E-05,7.12E-05,,,
cg26671988,-0.00045093,0.000113481,7.35E-05,,,
cg05328960,-6.41E-05,1.61E-05,7.45E-05,,,
cg05764121,-0.000123372,3.11E-05,7.51E-05,,,
cg22235727,-0.000134632,3.40E-05,7.65E-05,,,
cg07782630,-8.61E-05,2.17E-05,7.66E-05,,,
cg27492102,-0.000490581,0.000123862,7.76E-05,,,
cg05916700,-0.000209823,5.30E-05,7.86E-05,,,
cg23715559,-6.57E-05,1.66E-05,8.05E-05,,,
cg14166788,-0.000202615,5.14E-05,8.27E-05,,,
cg16998718,-0.000126824,3.22E-05,8.33E-05,,,
cg20849127,0.000108691,2.76E-05,8.46E-05,,,
cg24494412,8.14E-05,2.07E-05,8.64E-05,,,
cg10959664,-0.00016397,4.17E-05,8.66E-05,,,
cg13671198,0.000272118,6.92E-05,8.70E-05,,,
cg04283330,0.000129642,3.30E-05,8.78E-05,,,
cg27225130,-0.000216761,5.52E-05,8.93E-05,,,
cg00696763,9.37E-05,2.39E-05,8.97E-05,,,
cg13935548,-0.000168902,4.31E-05,9.08E-05,,,
cg16540442,0.000115921,2.96E-05,9.12E-05,,,
cg20786706,-0.000254464,6.49E-05,9.21E-05,,,
cg10721450,-5.11E-05,1.30E-05,9.24E-05,,,
cg00122683,0.00015649,4.00E-05,9.44E-05,,,
cg27346937,0.000229411,5.87E-05,9.53E-05,,,
cg04148095,-0.000116727,2.99E-05,9.60E-05,,,
cg08322528,6.61E-05,1.69E-05,9.79E-05,,,
cg07430967,0.000405699,0.000103919,9.80E-05,,,
cg16895170,-0.000107815,2.77E-05,0.000101,,,
cg15704662,0.000428645,0.00011008,0.000102,,,
cg14789121,-0.00036668,9.42E-05,0.000103,,,
cg11074615,0.000286205,7.36E-05,0.000104,,,
cg02981853,-0.000128563,3.31E-05,0.000104,,,
cg18495118,0.000119971,3.09E-05,0.000104,,,
cg02399233,8.30E-05,2.13E-05,0.000105,,,
cg18222590,-0.000252073,6.49E-05,0.000105,,,
cg26061357,0.000120806,3.11E-05,0.000106,,,
cg07837717,0.000128328,3.30E-05,0.000106,,,
cg24944117,0.000119741,3.08E-05,0.000107,,,
cg05598539,-6.82E-05,1.76E-05,0.000109,,,
cg06939851,0.000686225,0.000176957,0.000109,,,
cg15324723,0.000198239,5.12E-05,0.000112,,,
cg12759166,-0.000226471,5.85E-05,0.000112,,,
cg24631450,0.000105997,2.74E-05,0.000113,,,
cg25699121,5.37E-05,1.39E-05,0.000115,,,
cg10830310,8.46E-05,2.19E-05,0.000115,,,
cg16763443,0.000564735,0.00014615,0.000115,,,
cg20999102,-0.000110824,2.87E-05,0.000117,,,
cg17166812,0.000125521,3.26E-05,0.00012,,,
cg06168875,0.000114073,2.96E-05,0.000122,,,
cg03640531,7.66E-05,1.99E-05,0.000122,,,
cg14260522,0.000490839,0.000127597,0.000124,,,
cg08605991,-0.000409656,0.000106569,0.000125,,,
cg21806242,-0.000454644,0.00011833,0.000126,,,
cg10182531,-7.91E-05,2.06E-05,0.000129,,,
cg21545952,-0.000133952,3.50E-05,0.000131,,,
cg10160630,-0.000180036,4.70E-05,0.000132,,,
cg23412136,-5.06E-05,1.32E-05,0.000132,,,
cg25356886,-0.000429007,0.000112098,0.000134,,,
cg12081645,0.000324652,8.48E-05,0.000134,,,
cg06061257,0.001004976,0.000262738,0.000135,,,
cg08797598,-0.000100829,2.64E-05,0.000138,,,
cg15294150,-0.000283957,7.44E-05,0.000139,,,
cg21656520,-7.23E-05,1.90E-05,0.000141,,,
cg09745087,-0.000113352,2.97E-05,0.000142,,,
cg23241772,0.000103995,2.73E-05,0.000145,,,
cg20382344,-7.52E-05,1.98E-05,0.000146,,,
cg08492912,-0.00047046,0.000123658,0.000147,,,
cg00121045,-0.000246721,6.49E-05,0.000148,,,
cg27592868,-0.000125759,3.31E-05,0.000149,,,
cg07999508,0.000220618,5.80E-05,0.000149,,,
cg19285688,-0.000116481,3.07E-05,0.00015,,,
cg11826008,-0.000273321,7.20E-05,0.000151,,,
cg16650026,-9.96E-05,2.62E-05,0.000151,,,
cg16884295,0.000118424,3.12E-05,0.000151,,,
cg02160807,0.00014683,3.87E-05,0.000151,,,
cg14028856,-0.000243232,6.42E-05,0.000155,,,
cg19722671,-0.00011395,3.01E-05,0.000158,,,
cg07556119,-8.84E-05,2.34E-05,0.00016,,,
cg04088932,-0.0004717,0.000124836,0.000163,,,
cg18086594,0.00012598,3.33E-05,0.000163,,,
cg25019961,0.000205418,5.44E-05,0.000165,,,
cg06762176,0.000234495,6.21E-05,0.000166,,,
cg20929811,-0.000100022,2.65E-05,0.000166,,,
cg22999864,0.000270337,7.17E-05,0.000167,,,
cg19728051,-0.000286323,7.59E-05,0.000168,,,
cg06217267,0.000129387,3.43E-05,0.000169,,,
cg11465943,-0.000207646,5.51E-05,0.000171,,,
cg05038288,0.000130728,3.47E-05,0.000171,,,
